NoCSize,HopCount,TotalNumLinks,TotalNumLoops,avgLoopLength,avgOverlappingCap,MaxOverlappingCap,MinOverlappingCap,avgCrossCap,MaxCrossCap,MinCrossCap
4,2.8,104,12,8.666666666666666,4.333333333333333,6,2,6.5,7,6
6,4.53333,384,30,12.8,6.4,10,2,10.666666666666666,11,10
8,6.33333,944,56,16.857142857142858,8.428571428571429,14,2,14.75,15,14
10,8.16,1880,90,20.88888888888889,10.444444444444445,18,2,18.8,19,18
12,10.0,3288,132,24.90909090909091,12.454545454545455,22,2,22.833333333333332,23,22
14,11.84762,5264,182,28.923076923076923,14.461538461538462,26,2,26.857142857142858,27,26
16,13.7,7904,240,32.93333333333333,16.466666666666665,30,2,30.875,31,30
18,15.55556,11304,306,36.94117647058823,18.470588235294116,34,2,34.888888888888886,35,34
20,17.41333,15560,380,40.94736842105263,20.473684210526315,38,2,38.9,39,38
22,19.27273,20768,462,44.95238095238095,22.476190476190474,42,2,42.90909090909091,43,42
24,21.13333,27024,552,48.95652173913044,24.47826086956522,46,2,46.916666666666664,47,46
26,22.99487,34424,650,52.96,26.48,50,2,50.92307692307692,51,50
28,24.85714,43064,756,56.96296296296296,28.48148148148148,54,2,54.92857142857143,55,54
30,26.72,53040,870,60.96551724137931,30.482758620689655,58,2,58.93333333333333,59,58
32,28.58333,64448,992,64.96774193548387,32.483870967741936,62,2,62.9375,63,62
