NoCSize, avgHop, failAvgHop, MaxHopChange
4,2.8,2.958333333333334,3.433333333333333
6,4.533333333333333,4.637037037037037,5.073015873015873
8,6.333333333333333,6.41028911564626,6.791666666666667
10,8.16,8.22140516273849,8.555151515151515
12,10.0,10.051243789880152,10.346153846153847
14,11.847619047619048,11.89168089890225,12.155102040816326
16,13.7,13.738699959150313,13.976348039215686
18,15.555555555555555,15.590089431789963,15.806367771280051
20,17.413333333333334,17.444530932594656,17.642857142857142
22,19.272727272727273,19.301189237332142,19.484249610731823
24,21.133333333333333,21.159509206749306,21.329444444444444
26,22.994871794871795,23.019107267485992,23.177646285338593
28,24.857142857142858,24.879709769735705,25.028266479005396
30,26.72,26.7411161713667,26.880860215053765
32,28.583333333333332,28.603176108402916,28.735085227272727
