NoCSize, avgHop, failAvgHop, MaxHopChange
4,2.6666666666666665,2.696296296296296,2.7333333333333334
6,4.171428571428572,4.208419599723951,4.32063492063492
8,5.722222222222222,5.757751937984498,5.904761904761905
10,7.292121212121212,7.324760649978037,7.482424242424242
12,8.871794871794872,8.9016209313239,9.059052059052059
14,10.457142857142857,10.484481739569103,10.637048665620094
16,12.04607843137255,12.071267277402766,12.217156862745098
18,13.637426900584796,13.660759986213877,13.799449604403165
20,15.23047619047619,15.252199356522787,15.38375939849624
22,16.824769433465086,16.845086109908227,16.969850965898395
24,18.42,18.439078897305574,18.557487922705313
26,20.015954415954415,20.033936358192886,20.14645627876397
28,21.61247947454844,21.629482933973172,21.73657049026507
30,23.2094623655914,23.22558781568313,23.327672722778395
32,24.806818181818183,24.8221514967663,24.919629765395893
