NoCSize,HopCount,TotalNumLinks,TotalNumLoops,avgLoopLength,avgOverlappingCap,MaxOverlappingCap,MinOverlappingCap,avgCrossCap,MaxCrossCap,MinCrossCap
4,3.06667,80,12,6.666666666666667,3.3333333333333335,4,3,5.0,7,3
6,4.8,276,29,9.517241379310345,4.6,6,2,7.666666666666667,9,5
8,6.82341,672,56,12.0,6.0,8,2,10.5,15,7
10,8.92525,1316,89,14.786516853932584,7.311111111111111,10,2,13.16,17,9
12,11.06838,2288,132,17.333333333333332,8.666666666666666,12,2,15.88888888888889,23,11
14,13.22993,3636,181,20.08839779005525,9.989010989010989,14,2,18.551020408163264,25,13
16,15.40355,5440,240,22.666666666666668,11.333333333333334,16,2,21.25,31,15
18,17.58384,7748,305,25.40327868852459,12.660130718954248,18,2,23.91358024691358,33,17
20,19.76902,10640,380,28.0,14.0,20,2,26.6,39,19
22,21.95726,14164,461,30.724511930585685,15.329004329004329,22,2,29.264462809917354,41,21
24,24.1479,18400,552,33.333333333333336,16.666666666666668,24,2,31.944444444444443,47,23
26,26.34016,23396,649,36.04930662557781,17.99692307692308,26,2,34.6094674556213,49,25
28,28.53377,29232,756,38.666666666666664,19.333333333333332,28,2,37.285714285714285,55,27
30,30.72833,35956,869,41.376294591484466,20.664367816091954,30,2,39.95111111111111,57,29
32,32.9237,43648,992,44.0,22.0,32,2,42.625,63,31
