NoCSize,HopCount,TotalNumLinks,TotalNumLoops,avgLoopLength,avgOverlappingCap,MaxOverlappingCap,MinOverlappingCap,avgCrossCap,MaxCrossCap,MinCrossCap
4,3.4,64,10,6.4,2.6666666666666665,3,2,4.0,5,3
6,5.33333,244,27,9.037037037037036,4.066666666666666,5,2,6.777777777777778,9,5
8,7.41071,608,52,11.692307692307692,5.428571428571429,7,2,9.5,13,7
10,9.54263,1220,85,14.352941176470589,6.777777777777778,9,2,12.2,17,9
12,11.70008,2144,126,17.015873015873016,8.121212121212121,11,2,14.88888888888889,21,11
14,13.87127,3444,175,19.68,9.461538461538462,13,2,17.571428571428573,25,13
16,16.05061,5184,232,22.344827586206897,10.8,15,2,20.25,29,15
18,18.23514,7428,297,25.01010101010101,12.137254901960784,17,2,22.925925925925927,33,17
20,20.42316,10240,370,27.675675675675677,13.473684210526315,19,2,25.6,37,19
22,22.61362,13684,451,30.341463414634145,14.80952380952381,21,2,28.272727272727273,41,21
24,24.80587,17824,540,33.007407407407406,16.144927536231883,23,2,30.944444444444443,45,23
26,26.99945,22724,637,35.673469387755105,17.48,25,2,33.61538461538461,49,25
28,29.19405,28448,742,38.339622641509436,18.814814814814813,27,2,36.285714285714285,53,27
30,31.38945,35060,855,41.005847953216374,20.149425287356323,29,2,38.955555555555556,57,29
32,33.58548,42624,976,43.67213114754098,21.483870967741936,31,2,41.625,61,31
