NoCSize,HopCount,TotalNumLinks,TotalNumLoops,avgLoopLength,avgOverlappingCap,MaxOverlappingCap,MinOverlappingCap,avgCrossCap,MaxCrossCap,MinCrossCap
4,2.93333,80,10,8.0,3.3333333333333335,4,2,5.0,6,4
6,5.07302,280,24,11.666666666666666,4.666666666666667,6,2,7.777777777777778,10,6
8,7.32738,672,44,15.272727272727273,6.0,8,2,10.5,14,8
10,9.63879,1320,70,18.857142857142858,7.333333333333333,10,2,13.2,18,10
12,11.99301,2288,102,22.431372549019606,8.666666666666666,12,2,15.88888888888889,22,12
14,14.38012,3640,140,26.0,10.0,14,2,18.571428571428573,26,14
16,16.79252,5440,184,29.565217391304348,11.333333333333334,16,2,21.25,30,16
18,19.22455,7752,234,33.12820512820513,12.666666666666666,18,2,23.925925925925927,34,18
20,21.67198,10640,290,36.689655172413794,14.0,20,2,26.6,38,20
22,24.13165,14168,352,40.25,15.333333333333334,22,2,29.272727272727273,42,22
24,26.60118,18400,420,43.80952380952381,16.666666666666668,24,2,31.944444444444443,46,24
26,29.07876,23400,494,47.36842105263158,18.0,26,2,34.61538461538461,50,26
28,31.56298,29232,574,50.926829268292686,19.333333333333332,28,2,37.285714285714285,54,28
30,34.05274,35960,660,54.484848484848484,20.666666666666668,30,2,39.955555555555556,58,30
32,36.54716,43648,752,58.04255319148936,22.0,32,2,42.625,62,32
