NoCSize,HopCount,TotalNumLinks,TotalNumLoops,avgLoopLength,avgOverlappingCap,MaxOverlappingCap,MinOverlappingCap,avgCrossCap,MaxCrossCap,MinCrossCap
4,2.66667,152,18,8.444444444444445,6.333333333333333,8,4,9.5,10,8
6,4.17143,552,46,12.0,9.2,12,4,15.333333333333334,18,12
8,5.72222,1336,86,15.534883720930232,11.928571428571429,16,4,20.875,26,16
10,7.29212,2632,138,19.07246376811594,14.622222222222222,20,4,26.32,34,20
12,8.87179,4568,202,22.613861386138613,17.303030303030305,24,4,31.72222222222222,42,24
14,10.45714,7272,278,26.158273381294965,19.978021978021978,28,4,37.10204081632653,50,28
16,12.04608,10872,366,29.704918032786885,22.65,32,4,42.46875,58,32
18,13.63743,15496,466,33.25321888412017,25.320261437908496,36,4,47.82716049382716,66,36
20,15.23048,21272,578,36.80276816608997,27.989473684210527,40,4,53.18,74,40
22,16.82477,28328,702,40.35327635327636,30.658008658008658,44,4,58.52892561983471,82,44
24,18.42,36792,838,43.90453460620525,33.32608695652174,48,4,63.875,90,48
26,20.01595,46792,986,47.45638945233266,35.99384615384616,52,4,69.2189349112426,98,52
28,21.61248,58456,1146,51.0087260034904,38.66137566137566,56,4,74.56122448979592,106,56
30,23.20946,71912,1318,54.56145675265554,41.32873563218391,60,4,79.90222222222222,114,60
32,24.80682,87288,1502,58.114513981358186,43.99596774193548,64,4,85.2421875,122,64
