Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,18.7145,21.5276,18.5907,16.8125
0.01,18.9478,22.4321,18.6322,16.8301
0.015,19.254,25.0225,18.6607,16.8335
0.02,19.794,79.839,18.7297,16.8641
0.025,20.7616,28209.5,18.7909,16.8719
0.03,23.1106,,18.8781,16.8981
0.035,36.7652,,18.9888,16.9204
0.04,5762.88,,19.1246,16.9378
0.045,,,19.3224,16.9543
0.05,,,19.6223,16.9757
0.055,,,20.1869,16.9967
0.06,,,21.2514,17.0163
0.065,,,23.6713,17.0397
0.07,,,37.0109,17.0666
0.075,,,2555.85,17.0935
0.08,,,,17.122
0.085,,,,17.1508
0.09,,,,17.1773
0.095,,,,17.2126
0.1,,,,17.2495
0.105,,,,17.2837
0.11,,,,17.3193
0.115,,,,17.367
0.12,,,,17.4097
0.125,,,,17.4564
0.13,,,,17.5103
0.135,,,,17.565
0.14,,,,17.6298
0.145,,,,17.6948
0.15,,,,17.7678
0.155,,,,17.8488
0.16,,,,17.9372
0.165,,,,18.0377
0.17,,,,18.1495
0.175,,,,18.277
0.18,,,,18.4135
0.185,,,,18.5801
0.19,,,,18.7637
0.195,,,,18.9768
0.2,,,,19.2566
0.205,,,,19.5626
0.21,,,,19.9434
0.215,,,,20.4559
0.22,,,,21.1373
0.225,,,,22.076
0.23,,,,23.5705
0.235,,,,27.5305
0.24,,,,326.259
