Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,17.8358,17.0144,15.1043,15.8195
0.01,18.0219,17.1434,15.2346,16.0104
0.015,18.2026,17.3176,15.3808,16.1996
0.02,18.4135,17.5004,15.5244,16.3763
0.025,18.6025,17.6821,15.64,16.5241
0.03,18.8214,17.919,15.7837,16.6912
0.035,19.0474,18.1973,15.9118,16.8434
0.04,19.2804,18.5421,16.0345,16.9859
0.045,19.5496,18.9952,16.1532,17.1184
0.05,19.858,19.6396,16.2829,17.2631
0.055,20.2094,20.6394,16.4067,17.395
0.06,20.6297,22.6575,16.5283,17.524
0.065,21.1816,29.9028,16.6553,17.6573
0.07,21.9497,1429.36,16.7933,17.7972
0.075,23.1668,,16.9321,17.9377
0.08,25.3114,,17.0904,18.0702
0.085,30.7158,,17.2534,18.2228
0.09,96.2213,,17.4377,18.3764
0.095,5627.0,,17.658,18.5509
0.1,,,17.9453,18.7502
0.105,,,18.2756,18.9791
0.11,,,18.7568,19.2723
0.115,,,19.5945,19.5139
0.12,,,21.0714,19.8774
0.125,,,35.9007,20.2279
0.13,,,685.01,20.6715
0.135,,,,21.3041
0.14,,,,22.6792
0.145,,,,23.8336
0.15,,,,24.9727
0.155,,,,26.4077
0.16,,,,30.4736
0.165,,,,31.295
0.17,,,,37.1225
0.175,,,,33.9896
0.18,,,,44.0829
0.185,,,,48.8592
0.19,,,,55.8351
0.195,,,,61.3757
0.2,,,,312.901
