Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,12.0762,1,104,12.0761,1,104,11.2728,1,104,0,0,0,0.00498801,0.00456667,0.00533667,0.00498803,0,0.07059,0.00897075,0.00800667,0.0100833,0.00897085,0,0.127097,1.79846,1.79848,12.2724
0.010,12.437,1,119,12.4366,1,119,11.6351,1,119,0,0,0,0.00999117,0.00926,0.01046,0.00999133,0,0.14173,0.0179902,0.01678,0.0190167,0.0179906,0,0.254033,1.80061,1.80062,12.6251
0.015,12.9689,1,158,12.9681,1,158,12.1636,1,158,0,0,0,0.0149924,0.0144367,0.0155767,0.0149922,0,0.21136,0.0269573,0.0255333,0.0282733,0.0269569,0,0.3818,1.79806,1.79806,13.1531
0.020,13.6545,1,176,13.653,1,176,12.8385,1,176,0,0,0,0.0199947,0.01923,0.0207433,0.0199945,0,0.28165,0.0359569,0.0342967,0.0380367,0.0359569,0,0.506637,1.79832,1.79834,13.8306
0.025,14.5948,1,159,14.5924,1,159,13.7865,1,159,0,0,0,0.0250009,0.02405,0.0257167,0.0250009,0,0.351833,0.0449455,0.04299,0.04653,0.0449457,0,0.634273,1.79776,1.79776,14.763
0.030,15.7145,1,224,15.7109,1,224,14.9076,1,224,0,0,0,0.0300008,0.0289933,0.0308933,0.0300008,0,0.422233,0.053947,0.05228,0.0560267,0.0539472,0,0.76182,1.79818,1.79819,15.8715
0.035,17.1281,1,221,17.1223,1,221,16.3319,1,221,0,0,0,0.0349991,0.0342433,0.0360667,0.0349981,0,0.49247,0.0629309,0.06123,0.0651233,0.0629291,0,0.887123,1.79807,1.79807,17.2706
0.040,18.8865,1,259,18.8778,1,259,18.093,1,281,0,0,0,0.0400111,0.03899,0.0408333,0.0397189,0,0.55752,0.0719604,0.0695,0.0742433,0.0714286,0,1,1.79851,1.79835,19.0119
0.045,21.0516,1,262,21.0385,1,262,20.2351,1,262,0,0,0,0.0449922,0.0439033,0.0462967,0.0397186,0,0.55744,0.080969,0.0785167,0.0829133,0.0714286,0,1,1.79962,1.79836,21.1531
0.050,23.7464,1,287,23.7261,1,287,22.9073,1,299,0,0,0,0.0499921,0.0489467,0.0512467,0.0397189,0,0.557443,0.0900255,0.0872333,0.0931133,0.0714286,0,1,1.80079,1.79835,23.8156
0.055,27.2755,1,315,27.2438,1,315,26.3939,1,315,0,0,0,0.0549907,0.05383,0.0560467,0.0397192,0,0.55746,0.0990364,0.0950567,0.101633,0.0714286,0,1,1.80096,1.79834,27.3012
0.060,31.8946,1,337,31.8438,1,337,30.9804,1,337,0,0,0,0.0600051,0.0587033,0.06148,0.0397191,0,0.55744,0.108055,0.10485,0.110827,0.0714286,0,1,1.80076,1.79834,31.8576
0.065,38.4304,1,352,38.3436,1,352,37.4522,1,367,0,0,0,0.0650128,0.0635367,0.06645,0.0397192,0,0.557467,0.117063,0.114407,0.119997,0.0714286,0,1,1.80062,1.79834,38.2882
0.070,48.7083,1,426,48.5368,1,426,47.6169,1,426,0,0,0,0.0700194,0.0682167,0.0713833,0.0397191,0,0.557427,0.126047,0.12223,0.13002,0.0714286,0,1,1.80017,1.79834,48.3544
0.075,70.0107,1,663,69.4201,1,527,68.4612,1,623,0,0,0,0.0750226,0.0737967,0.0764867,0.039719,0,0.557453,0.135018,0.131783,0.138207,0.0714286,0,1,1.7997,1.79835,68.8574
0.080,11860.8,1,359857,145.313,1,1104,141.736,1,1228,0,0,0,0.0800241,0.07857,0.08115,0.0397223,0,0.55763,0.144059,0.140703,0.146757,0.0714286,0,1,1.80019,1.7982,139.046
