Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,16.8166,2,40,16.8126,2,38,16.0143,2,34,0,0,0,0.00498339,0.00460333,0.00538667,0.00498344,0.00460333,0.00539,0.0089563,0.00821667,0.00986667,0.00895632,0.00821667,0.00986667,1.79723,1.79722,17.0091
0.010,16.8392,2,42,16.8301,2,38,16.0421,2,34,0,0,0,0.00998194,0.00952,0.0106333,0.00998202,0.00951667,0.0106333,0.0179709,0.01678,0.0192467,0.017971,0.01678,0.0192467,1.80034,1.80033,17.0182
0.015,16.8482,2,44,16.8336,2,42,16.0273,2,38,0,0,0,0.0149825,0.0143067,0.01555,0.0149826,0.0143033,0.01555,0.0269382,0.0256433,0.02851,0.0269381,0.0256467,0.02851,1.79798,1.79796,17.0181
0.020,16.885,2,45,16.8642,2,38,16.0631,2,37,0,0,0,0.0199847,0.0194667,0.0208033,0.0199847,0.01947,0.0208,0.0359356,0.0345,0.03783,0.0359362,0.0344833,0.03783,1.79816,1.79818,17.0416
0.025,16.8988,2,48,16.8719,2,38,16.0751,2,37,0,0,0,0.0249844,0.02421,0.0256467,0.0249846,0.0242067,0.0256467,0.0449068,0.0431433,0.04654,0.0449076,0.04314,0.04654,1.7974,1.79742,17.0435
0.030,16.933,2,53,16.8981,2,40,16.1045,2,37,0,0,0,0.0299786,0.02924,0.0307733,0.0299785,0.0292433,0.0307733,0.0539195,0.05213,0.05596,0.0539195,0.0521567,0.05596,1.7986,1.7986,17.0616
0.035,16.9632,2,70,16.92,2,70,16.1209,2,70,0,0,0,0.0349774,0.0342367,0.0358733,0.0349774,0.0342367,0.03588,0.0629459,0.0611567,0.0654667,0.0629463,0.0611567,0.06545,1.79962,1.79963,17.0755
0.040,16.9897,2,86,16.9376,2,86,16.1344,2,86,0,0,0,0.0399889,0.0391467,0.0409867,0.0399886,0.0391467,0.0409833,0.072009,0.0696667,0.07408,0.0720083,0.0696667,0.07408,1.80073,1.80072,17.0837
0.045,17.0159,2,70,16.9538,2,70,16.1493,2,70,0,0,0,0.0449701,0.04413,0.0460133,0.04497,0.0441333,0.0460133,0.080976,0.0788633,0.0842433,0.080976,0.0788633,0.0842333,1.80066,1.80067,17.0921
0.050,17.0489,2,86,16.9748,2,86,16.1714,2,82,0,0,0,0.0499764,0.04892,0.05151,0.0499761,0.04892,0.0515033,0.0899879,0.0868533,0.0925167,0.0899874,0.0868533,0.0925367,1.80061,1.80061,17.1048
0.055,17.0831,2,86,16.9955,2,86,16.1927,2,82,0,0,0,0.054982,0.0535933,0.0560633,0.0549817,0.0536033,0.0560733,0.0989778,0.0963233,0.1012,0.0989775,0.0963567,0.101187,1.80018,1.80019,17.1174
0.060,17.1154,2,90,17.0145,2,90,16.2116,2,86,0,0,0,0.0599857,0.0589133,0.0613133,0.0599854,0.0589167,0.0613233,0.107968,0.104723,0.111213,0.107968,0.104723,0.111213,1.7999,1.79991,17.127
