Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,12.0369,1,70,12.0367,1,70,11.2435,1,67,0,0,0,0.00498339,0.00460333,0.00538667,0.00498333,0.00460333,0.00538667,0.0089563,0.00821667,0.00986667,0.00895633,0.00821667,0.00986667,1.79723,1.79726,12.227
0.010,12.2356,1,71,12.235,1,71,11.4207,1,68,0,0,0,0.00998194,0.00952,0.0106333,0.00998208,0.00952,0.0106333,0.0179709,0.01678,0.0192467,0.0179712,0.01678,0.0192467,1.80034,1.80034,12.4104
0.015,12.4468,1,72,12.4456,1,72,11.6518,1,70,0,0,0,0.0149825,0.0143067,0.01555,0.0149825,0.0143033,0.01555,0.0269382,0.0256433,0.02851,0.026938,0.0256433,0.02851,1.79798,1.79796,12.6115
0.020,12.6442,1,75,12.6421,1,75,11.8448,1,71,0,0,0,0.0199847,0.0194667,0.0208033,0.0199846,0.0194667,0.0208,0.0359356,0.0345,0.03783,0.0359355,0.0345,0.03783,1.79816,1.79816,12.7959
0.025,12.837,1,75,12.8338,1,74,12.0201,1,72,0,0,0,0.0249844,0.02421,0.0256467,0.0249844,0.02421,0.0256467,0.0449068,0.0431433,0.04654,0.0449074,0.04314,0.04654,1.7974,1.79742,12.9764
0.030,13.0247,1,76,13.02,1,74,12.2077,1,72,0,0,0,0.0299786,0.02924,0.0307733,0.0299786,0.02924,0.0307733,0.0539195,0.05213,0.05596,0.0539195,0.0521433,0.05596,1.7986,1.7986,13.1495
0.035,13.2029,1,76,13.1961,1,76,12.3681,1,74,0,0,0,0.0349774,0.0342367,0.0358733,0.0349776,0.0342367,0.0358767,0.0629459,0.0611567,0.0654667,0.0629464,0.0611567,0.06545,1.79962,1.79962,13.3128
0.040,13.3879,1,116,13.379,1,116,12.5504,1,116,0,0,0,0.0399889,0.0391467,0.0409867,0.0399888,0.0391467,0.0409833,0.072009,0.0696667,0.07408,0.0720087,0.0696667,0.07408,1.80073,1.80072,13.4828
0.045,13.5558,1,124,13.5441,1,124,12.7033,1,120,0,0,0,0.0449701,0.04413,0.0460133,0.0449701,0.0441333,0.0460133,0.080976,0.0788633,0.0842433,0.0809755,0.0788633,0.0842367,1.80066,1.80065,13.6363
0.050,13.7362,1,79,13.7211,1,79,12.8774,1,76,0,0,0,0.0499764,0.04892,0.05151,0.0499762,0.04892,0.0515067,0.0899879,0.0868533,0.0925167,0.0899877,0.0868533,0.0925167,1.80061,1.80061,13.8019
0.055,13.9136,1,118,13.8936,1,118,13.04,1,114,0,0,0,0.054982,0.0535933,0.0560633,0.054982,0.0535967,0.05607,0.0989778,0.0963233,0.1012,0.098978,0.09634,0.1012,1.80018,1.80019,13.9624
0.060,14.0766,1,116,14.0525,1,116,13.1969,1,112,0,0,0,0.0599857,0.0589133,0.0613133,0.0599856,0.0589167,0.0613233,0.107968,0.104723,0.111213,0.107968,0.104723,0.111213,1.7999,1.7999,14.11
0.065,14.2214,1,112,14.1922,1,112,13.3193,1,112,0,0,0,0.0649985,0.0638667,0.0660133,0.0649983,0.0638667,0.06601,0.117022,0.11463,0.119897,0.117022,0.114637,0.119897,1.80038,1.80038,14.238
0.070,14.3891,1,108,14.3525,1,108,13.4806,1,108,0,0,0,0.0699986,0.0686933,0.0711733,0.0699983,0.06869,0.0711733,0.126019,0.123233,0.12942,0.126019,0.123237,0.12942,1.80031,1.80031,14.3863
0.075,14.5411,1,115,14.496,1,115,13.6234,1,115,0,0,0,0.07499,0.0734167,0.0760667,0.0749896,0.07342,0.07605,0.134971,0.131247,0.138787,0.13497,0.131233,0.138747,1.79985,1.79985,14.5186
0.080,14.7069,1,129,14.6512,1,129,13.778,1,129,0,0,0,0.0799878,0.0786433,0.0812033,0.0799876,0.0786467,0.08121,0.143984,0.14032,0.146947,0.143983,0.140327,0.14695,1.80007,1.80007,14.6611
0.085,14.8601,1,137,14.7946,1,125,13.9097,1,125,0,0,0,0.0849842,0.08364,0.08641,0.0849839,0.08364,0.08641,0.152967,0.14972,0.156877,0.152967,0.1497,0.156877,1.79995,1.79995,14.7934
0.090,15.0019,1,138,14.9222,1,131,14.0231,1,129,0,0,0,0.08999,0.0882767,0.0914933,0.0899897,0.0882833,0.0914967,0.161986,0.15777,0.165417,0.161986,0.157777,0.165413,1.80005,1.80005,14.9083
0.095,15.1641,1,157,15.0697,1,120,14.1726,1,120,0,0,0,0.0949999,0.0936067,0.0963867,0.0949998,0.0936033,0.0963867,0.170999,0.166893,0.17535,0.170998,0.166897,0.175333,1.79999,1.79999,15.0443
0.100,15.3151,1,200,15.2016,1,129,14.2972,1,129,0,0,0,0.100003,0.09821,0.10142,0.100002,0.09821,0.10142,0.180009,0.17718,0.183673,0.180008,0.177157,0.183663,1.80004,1.80004,15.1638
0.105,15.465,1,231,15.3298,1,134,14.4201,1,134,0,0,0,0.105002,0.10362,0.106463,0.105002,0.103617,0.106463,0.189006,0.18513,0.192463,0.189006,0.185137,0.192463,1.80002,1.80002,15.2786
0.110,15.619,1,161,15.4585,1,132,14.5451,1,132,0,0,0,0.110003,0.10808,0.11205,0.110002,0.108083,0.112047,0.19802,0.193597,0.202457,0.198018,0.1936,0.202437,1.80014,1.80013,15.3953
0.115,15.7779,1,205,15.5807,1,132,14.6665,1,132,0,0,0,0.115,0.11298,0.11649,0.115001,0.112983,0.11649,0.207012,0.20274,0.211183,0.207012,0.202723,0.211197,1.8001,1.8001,15.5039
0.120,15.9421,1,265,15.709,1,133,14.7839,1,133,0,0,0,0.120001,0.11788,0.12139,0.120001,0.11787,0.121393,0.215985,0.21001,0.219877,0.215983,0.209993,0.21986,1.79986,1.79985,15.6205
0.125,16.1013,1,292,15.8149,1,169,14.883,1,169,0,0,0,0.124991,0.122477,0.126757,0.124991,0.12248,0.126757,0.224941,0.21717,0.229613,0.224939,0.217173,0.229593,1.79965,1.79965,15.7135
0.130,16.2822,1,460,15.9411,1,139,15.0106,1,136,0,0,0,0.129994,0.12861,0.13163,0.129994,0.12861,0.131633,0.233907,0.229627,0.239577,0.233907,0.22959,0.239553,1.79937,1.79937,15.8258
0.135,16.4674,1,367,16.0513,1,138,15.1152,1,134,0,0,0,0.135011,0.13331,0.137077,0.13501,0.133303,0.137077,0.242939,0.23854,0.24718,0.242937,0.238547,0.247163,1.7994,1.7994,15.9223
0.140,16.6734,1,456,16.1725,1,141,15.2307,1,141,0,0,0,0.140012,0.138473,0.141673,0.140012,0.138487,0.141667,0.251956,0.247503,0.255883,0.251956,0.247513,0.25588,1.79953,1.79954,16.0308
0.145,16.9079,1,587,16.2764,1,143,15.3378,1,143,0,0,0,0.145017,0.14337,0.146897,0.145016,0.143367,0.146893,0.260933,0.25642,0.265297,0.260931,0.256443,0.265297,1.79933,1.79933,16.12
0.150,17.1494,1,531,16.386,1,145,15.4381,1,145,0,0,0,0.15003,0.148493,0.151627,0.15003,0.14851,0.151627,0.269926,0.26537,0.274093,0.269927,0.265363,0.27409,1.79915,1.79915,16.2157
0.155,17.4705,1,996,16.496,1,141,15.5497,1,141,0,0,0,0.15501,0.153073,0.15654,0.15501,0.1531,0.156553,0.278871,0.274573,0.28329,0.278872,0.274533,0.283313,1.79905,1.79905,16.3125
0.160,17.85,1,927,16.5915,1,136,15.6406,1,136,0,0,0,0.159992,0.158507,0.162103,0.159992,0.15851,0.162107,0.287835,0.28356,0.292603,0.287835,0.28358,0.292597,1.79905,1.79906,16.3928
0.165,18.1814,1,1466,16.7042,1,140,15.7528,1,139,0,0,0,0.164984,0.16321,0.16732,0.164983,0.163207,0.167317,0.296815,0.29239,0.302133,0.296814,0.2924,0.30213,1.79905,1.79905,16.4916
0.170,18.7971,1,1107,16.799,1,162,15.8445,1,162,0,0,0,0.169982,0.16839,0.171893,0.16998,0.168397,0.171897,0.305826,0.299963,0.31143,0.305823,0.299957,0.31145,1.79917,1.79917,16.5704
0.175,19.5367,1,1947,16.9033,1,168,15.9489,1,168,0,0,0,0.174982,0.17345,0.177263,0.174982,0.173463,0.177267,0.314825,0.31027,0.319503,0.314825,0.310287,0.319507,1.79918,1.79918,16.6595
0.180,20.3941,1,1746,17.0034,1,168,16.0481,1,168,0,0,0,0.179982,0.17798,0.182083,0.179979,0.17798,0.18208,0.323818,0.31814,0.328417,0.323813,0.318143,0.328423,1.79917,1.79917,16.7459
0.185,21.5793,1,2643,17.0972,1,198,16.1367,1,198,0,0,0,0.184973,0.182803,0.187077,0.184971,0.182813,0.18711,0.332765,0.328003,0.33785,0.332763,0.328007,0.33785,1.799,1.799,16.8222
0.190,23.1629,1,2884,17.1904,1,171,16.2313,1,171,0,0,0,0.18996,0.187713,0.191863,0.18996,0.187707,0.191853,0.341715,0.336363,0.346783,0.341715,0.33643,0.34677,1.79888,1.79888,16.9002
0.195,25.0543,1,4156,17.2784,1,175,16.3178,1,175,0,0,0,0.194964,0.192853,0.19691,0.194964,0.192843,0.196917,0.350751,0.345817,0.355963,0.350752,0.346093,0.355967,1.79906,1.79906,16.9739
0.200,28.3124,1,5766,17.3733,1,175,16.418,1,175,0,0,0,0.199998,0.198692,0.20143,0.199994,0.198684,0.201434,0.359928,0.356416,0.364196,0.359922,0.356418,0.364208,1.79966,1.79966,17.0509
0.205,35.4168,1,6232,17.4705,1,171,16.5114,1,171,0,0,0,0.205013,0.20317,0.206632,0.205003,0.203173,0.206638,0.368907,0.365545,0.374592,0.368888,0.365525,0.374598,1.79943,1.79943,17.128
0.210,81.6152,1,11152,17.5513,1,217,16.5923,1,213,0,0,0,0.209979,0.208774,0.211273,0.209971,0.207964,0.211981,0.377875,0.374454,0.38202,0.377861,0.374447,0.382014,1.79959,1.79958,17.1937
0.215,421.588,1,75094,17.6296,1,175,16.6721,1,173,0,0,0,0.214984,0.213566,0.216184,0.214856,0.19985,0.216186,0.38688,0.382531,0.391213,0.386647,0.359634,0.391214,1.79957,1.79956,17.2578
