Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,18.5378,4,77,18.5374,4,77,17.7403,4,77,0,0,0,0.00498339,0.00460333,0.00538667,0.00498345,0,0.02052,0.0089563,0.00821667,0.00986667,0.0089563,0,0.0369633,1.79723,1.79721,18.7159
0.010,18.7839,4,95,18.7823,4,95,17.9896,4,93,0,0,0,0.00998194,0.00952,0.0106333,0.00998207,0,0.0412333,0.0179709,0.01678,0.0192467,0.0179712,0,0.0749267,1.80034,1.80035,18.9322
0.015,19.0231,4,102,19.019,4,102,18.2208,4,102,0,0,0,0.0149825,0.0143067,0.01555,0.0149827,0,0.0608367,0.0269382,0.0256433,0.02851,0.0269379,0,0.11046,1.79798,1.79794,19.1472
0.020,19.3068,4,123,19.2993,4,123,18.4896,4,123,0,0,0,0.0199847,0.0194667,0.0208033,0.0199848,0,0.0811333,0.0359356,0.0345,0.03783,0.0359363,0,0.14653,1.79816,1.79818,19.4015
0.025,19.5726,4,127,19.5598,4,127,18.7502,4,127,0,0,0,0.0249844,0.02421,0.0256467,0.0249847,0,0.10105,0.0449068,0.0431433,0.04654,0.0449078,0,0.18273,1.7974,1.79742,19.6362
0.030,19.8633,4,118,19.8432,4,112,19.0263,4,112,0,0,0,0.0299786,0.02924,0.0307733,0.0299787,0,0.121377,0.0539195,0.05213,0.05596,0.0539193,0,0.218673,1.7986,1.79859,19.8912
0.035,20.1429,4,130,20.1134,4,130,19.2826,4,130,0,0,0,0.0349774,0.0342367,0.0358733,0.0349774,0,0.141543,0.0629459,0.0611567,0.0654667,0.0629466,0,0.25576,1.79962,1.79964,20.1321
0.040,20.4519,4,152,20.4088,4,152,19.5746,4,150,0,0,0,0.0399889,0.0391467,0.0409867,0.0399886,0,0.161813,0.072009,0.0696667,0.07408,0.0720084,0,0.29215,1.80073,1.80072,20.3952
0.045,20.7536,4,159,20.6929,4,159,19.8595,4,159,0,0,0,0.0449701,0.04413,0.0460133,0.0449698,0,0.18125,0.080976,0.0788633,0.0842433,0.0809754,0,0.327827,1.80066,1.80066,20.6478
0.050,21.0842,4,158,21.0007,4,153,20.1537,4,153,0,0,0,0.0499764,0.04892,0.05151,0.0499761,0,0.20196,0.0899879,0.0868533,0.0925167,0.0899876,0,0.363477,1.80061,1.80061,20.9214
0.055,21.4214,4,186,21.3064,4,186,20.4564,4,186,0,0,0,0.054982,0.0535933,0.0560633,0.0549815,0,0.222193,0.0989778,0.0963233,0.1012,0.0989773,0,0.401243,1.80018,1.80019,21.1898
0.060,21.7724,4,207,21.6152,4,207,20.7598,4,207,0,0,0,0.0599857,0.0589133,0.0613133,0.0599856,0,0.24168,0.107968,0.104723,0.111213,0.107969,0,0.436147,1.7999,1.79991,21.4584
0.065,22.1564,4,288,21.9391,4,180,21.0763,4,180,0,0,0,0.0649985,0.0638667,0.0660133,0.0649979,0,0.262333,0.117022,0.11463,0.119897,0.117021,0,0.473007,1.80038,1.80038,21.7376
0.070,22.5829,4,555,22.2707,4,190,21.4034,4,190,0,0,0,0.0699986,0.0686933,0.0711733,0.069998,0,0.281357,0.126019,0.123233,0.12942,0.126019,0,0.51152,1.80031,1.80032,22.0196
0.075,23.0816,4,538,22.6158,4,195,21.7368,4,195,0,0,0,0.07499,0.0734167,0.0760667,0.0749901,0,0.303487,0.134971,0.131247,0.138787,0.134971,0,0.548057,1.79985,1.79985,22.3103
0.080,23.7634,4,828,22.9822,4,210,22.104,4,210,0,0,0,0.0799878,0.0786433,0.0812033,0.0799872,0,0.321957,0.143984,0.14032,0.146947,0.143982,0,0.579507,1.80007,1.80007,22.607
0.085,25.2159,4,2208,23.3824,4,192,22.4955,4,192,0,0,0,0.0849842,0.08364,0.08641,0.0849843,0,0.342023,0.152967,0.14972,0.156877,0.152968,0,0.616567,1.79995,1.79995,22.9239
0.090,34.6762,4,8181,23.776,4,314,22.8884,4,314,0,0,0,0.0900055,0.088606,0.091168,0.0900055,0,0.361528,0.161962,0.15955,0.164698,0.161962,0,0.65185,1.79946,1.79947,23.2191
0.095,1751.15,4,434941,24.1947,4,316,23.2924,4,339,0,0,0,0.0950106,0.09426,0.0960914,0.0948267,0,0.3821,0.170958,0.168611,0.173746,0.170625,0,0.688129,1.79936,1.79934,23.5279
