Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,13.7811,1,99,13.781,1,99,12.9876,1,99,0,0,0,0.00498339,0.00460333,0.00538667,0.00498348,0,0.08065,0.0089563,0.00821667,0.00986667,0.00895645,0,0.145487,1.79723,1.79723,13.9786
0.010,14.3048,1,130,14.3045,1,130,13.5086,1,130,0,0,0,0.00998194,0.00952,0.0106333,0.00998212,0,0.161103,0.0179709,0.01678,0.0192467,0.0179711,0,0.292207,1.80034,1.80033,14.4933
0.015,15.079,1,160,15.0783,1,160,14.2755,1,160,0,0,0,0.0149825,0.0143067,0.01555,0.0149826,0,0.241403,0.0269382,0.0256433,0.02851,0.026938,0,0.433967,1.79798,1.79795,15.2629
0.020,16.1289,1,211,16.1275,1,211,15.325,1,211,0,0,0,0.0199847,0.0194667,0.0208033,0.0199846,0,0.32145,0.0359356,0.0345,0.03783,0.0359361,0,0.578997,1.79816,1.79819,16.3044
0.025,17.5139,1,201,17.5115,1,201,16.7228,1,201,0,0,0,0.0249844,0.02421,0.0256467,0.0249849,0,0.4016,0.0449068,0.0431433,0.04654,0.0449081,0,0.72477,1.7974,1.79741,17.6806
0.030,19.3067,1,250,19.3027,1,250,18.5149,1,250,0,0,0,0.0299786,0.02924,0.0307733,0.0299786,0,0.481663,0.0539195,0.05213,0.05596,0.0539188,0,0.87037,1.7986,1.79858,19.4589
0.035,21.5494,1,324,21.543,1,324,20.742,1,324,0,0,0,0.0349774,0.0342367,0.0358733,0.0347297,0,0.55824,0.0629459,0.0611567,0.0654667,0.0625,0,1,1.79962,1.79961,21.6845
0.040,24.423,1,339,24.4129,1,339,23.5958,1,339,0,0,0,0.0399889,0.0391467,0.0409867,0.0347306,0,0.55832,0.072009,0.0696667,0.07408,0.0625,0,1,1.80073,1.79957,24.5353
0.045,28.1237,1,336,28.1072,1,336,27.3117,1,389,0,0,0,0.0449701,0.04413,0.0460133,0.0347305,0,0.558337,0.080976,0.0788633,0.0842433,0.0625,0,1,1.80066,1.79957,28.2049
0.050,33.1649,1,369,33.1376,1,369,32.3255,1,410,0,0,0,0.0499764,0.04892,0.05151,0.0347308,0,0.55834,0.0899879,0.0868533,0.0925167,0.0625,0,1,1.80061,1.79955,33.2012
0.055,40.2651,1,370,40.2166,1,370,39.3809,1,461,0,0,0,0.054982,0.0535933,0.0560633,0.034731,0,0.558363,0.0989778,0.0963233,0.1012,0.0625,0,1,1.80018,1.79955,40.2282
0.060,51.5023,1,494,51.4068,1,494,50.573,1,494,0,0,0,0.0599857,0.0589133,0.0613133,0.0347304,0,0.558327,0.107968,0.104723,0.111213,0.0625,0,1,1.7999,1.79958,51.3261
0.065,74.5778,1,542,74.3026,1,542,73.1745,1,542,0,0,0,0.0649985,0.0638667,0.0660133,0.0347308,0,0.55834,0.117022,0.11463,0.119897,0.0625,0,1,1.80038,1.79956,73.974
0.070,9947.19,1,342822,188.508,1,1593,184.3,1,4993,0,0,0,0.0699986,0.0686933,0.0711733,0.0347278,0,0.55818,0.126019,0.123233,0.12942,0.0625,0,1,1.80031,1.79971,181.448
