Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,5.32034,2,20,5.31144,2,20,4.51652,2,16,0,0,0,0.00503313,0.00481,0.00530333,0.00503313,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901479,0.00842333,0.00938667,1.79109,1.79109,5.49957
0.010,5.37403,2,23,5.35683,2,22,4.5657,2,18,0,0,0,0.0100071,0.00965667,0.0101967,0.0100071,0.00965667,0.0102,0.0181071,0.0176567,0.0190767,0.0181075,0.0176567,0.01908,1.80943,1.80947,5.50077
0.015,5.39872,2,22,5.37445,2,22,4.61091,2,21,0,0,0,0.0149985,0.0147133,0.0155233,0.0149985,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.0269394,0.0256067,0.0280867,1.79613,1.79613,5.51533
0.020,5.41161,2,27,5.37765,2,24,4.6003,2,20,0,0,0,0.019986,0.01961,0.02052,0.019986,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358333,0.03493,0.0368367,1.79293,1.79292,5.50214
0.025,5.44938,2,36,5.40565,2,24,4.62864,2,21,0,0,0,0.0249837,0.0244333,0.0254267,0.0249842,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448046,0.0432067,0.0459833,1.7933,1.79332,5.50709
0.030,5.48636,2,46,5.43021,2,24,4.63779,2,24,0,0,0,0.0300242,0.0295467,0.03048,0.0300244,0.0295433,0.0304767,0.0540175,0.05332,0.0554333,0.0540177,0.0533167,0.0554333,1.79913,1.79913,5.5081
0.035,5.52227,2,39,5.45391,2,26,4.66821,2,22,0,0,0,0.0350258,0.03456,0.0356267,0.035026,0.03456,0.0356267,0.0631567,0.0616533,0.06481,0.0631569,0.0616533,0.0648067,1.80315,1.80314,5.50758
0.040,5.55179,2,35,5.47298,2,26,4.68956,2,24,0,0,0,0.0400277,0.03946,0.04073,0.0400275,0.0394567,0.0407267,0.0721635,0.0709767,0.07374,0.0721637,0.07098,0.0737367,1.80284,1.80285,5.5079
0.045,5.58137,2,38,5.4913,2,26,4.6966,2,22,0,0,0,0.0450169,0.0439567,0.0456967,0.0450171,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.0811496,0.0793167,0.08211,1.80262,1.80264,5.51071
0.050,5.61284,2,51,5.5043,2,27,4.72964,2,23,0,0,0,0.0499998,0.0493,0.0506933,0.0500006,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.0900594,0.0887133,0.0915667,1.80116,1.80116,5.5095
0.055,5.65388,2,55,5.52748,2,28,4.75724,2,25,0,0,0,0.0550015,0.05412,0.0556867,0.0550017,0.0541167,0.0556833,0.0989573,0.0961867,0.101667,0.0989577,0.0961767,0.101667,1.79918,1.79918,5.51914
0.060,5.67945,2,56,5.54032,2,28,4.76535,2,24,0,0,0,0.0599671,0.0591933,0.0606667,0.0599671,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107884,0.106283,0.110047,1.79905,1.79905,5.51697
0.065,5.72495,2,75,5.56272,2,32,4.79848,2,29,0,0,0,0.0650215,0.0644433,0.06613,0.0650217,0.06444,0.0661367,0.116787,0.114973,0.119243,0.116788,0.114973,0.119243,1.79613,1.79613,5.52656
0.070,5.76145,2,62,5.58159,2,34,4.81356,2,30,0,0,0,0.0699785,0.0688767,0.0706767,0.0699785,0.0688767,0.0706767,0.125762,0.123223,0.12785,0.125761,0.123223,0.127843,1.79715,1.79714,5.53154
0.075,5.79496,2,58,5.60016,2,28,4.82455,2,25,0,0,0,0.0749754,0.0739667,0.0760933,0.0749756,0.0739633,0.0760933,0.134679,0.132943,0.137253,0.134678,0.132947,0.137253,1.79631,1.79629,5.53665
0.080,5.84068,2,102,5.61792,2,31,4.8545,2,27,0,0,0,0.0799906,0.0789433,0.0806033,0.0799908,0.07894,0.0806067,0.143754,0.1418,0.145303,0.143754,0.141783,0.145303,1.79713,1.79713,5.53489
0.085,5.90494,2,65,5.64287,2,31,4.88985,2,27,0,0,0,0.0850135,0.0841767,0.08594,0.0850131,0.0841767,0.0859433,0.152908,0.15066,0.154753,0.152906,0.15066,0.154753,1.79864,1.79861,5.54717
0.090,5.9605,2,70,5.66903,2,32,4.90006,2,28,0,0,0,0.0900248,0.0892033,0.09142,0.0900258,0.0892067,0.09142,0.16201,0.159603,0.16706,0.16201,0.159607,0.16706,1.79961,1.79959,5.55155
0.095,6.0004,2,71,5.68333,2,32,4.91903,2,31,0,0,0,0.0950098,0.0942767,0.09608,0.0950104,0.0942767,0.0960767,0.170997,0.16884,0.173027,0.170999,0.16884,0.17303,1.79979,1.79979,5.55783
0.100,6.04937,2,89,5.70081,2,32,4.94056,2,28,0,0,0,0.100001,0.0992933,0.10096,0.100001,0.0992867,0.10096,0.180058,0.177937,0.182947,0.180057,0.177937,0.182947,1.80056,1.80056,5.56053
0.105,6.11326,2,86,5.72019,2,31,4.9537,2,30,0,0,0,0.105056,0.104367,0.105867,0.105056,0.104363,0.10587,0.189182,0.1872,0.191547,0.189183,0.187197,0.19155,1.80077,1.80077,5.56479
0.110,6.17442,2,108,5.74454,2,31,4.98253,2,28,0,0,0,0.110075,0.108663,0.11093,0.110075,0.108663,0.11093,0.198212,0.19493,0.200707,0.198213,0.19493,0.200707,1.80071,1.80071,5.57354
0.115,6.27137,2,139,5.77511,2,32,5.00871,2,28,0,0,0,0.115057,0.113993,0.11592,0.115056,0.113993,0.115923,0.207168,0.20457,0.210507,0.207165,0.204573,0.21051,1.80056,1.80055,5.58625
0.120,6.32653,2,136,5.78561,2,34,5.02358,2,30,0,0,0,0.120091,0.11929,0.121323,0.12009,0.119293,0.121317,0.216163,0.21313,0.21876,0.216164,0.21314,0.21876,1.8,1.80001,5.5931
0.125,6.43476,2,158,5.81065,2,30,5.05339,2,28,0,0,0,0.125085,0.12432,0.126297,0.125085,0.12433,0.126297,0.22529,0.223193,0.229163,0.225288,0.223183,0.229157,1.80109,1.80108,5.59802
0.130,6.49444,2,112,5.8271,2,31,5.06662,2,30,0,0,0,0.130036,0.12924,0.131267,0.130035,0.12924,0.131267,0.23412,0.231557,0.23707,0.23412,0.23156,0.23708,1.80043,1.80044,5.60426
0.135,6.58464,2,103,5.84706,2,34,5.08404,2,32,0,0,0,0.135046,0.134093,0.136103,0.135046,0.134087,0.136107,0.243109,0.241307,0.245997,0.243107,0.24131,0.246,1.80019,1.80017,5.61523
0.140,6.72259,2,158,5.8724,2,33,5.11602,2,33,0,0,0,0.140089,0.13944,0.141097,0.140087,0.139437,0.1411,0.252135,0.24934,0.25455,0.252129,0.24934,0.254553,1.79982,1.7998,5.62265
0.145,6.85505,2,161,5.89586,2,32,5.1354,2,31,0,0,0,0.145101,0.143857,0.14625,0.1451,0.143857,0.146247,0.261322,0.259377,0.263003,0.261324,0.259383,0.263,1.80097,1.80099,5.6322
0.150,7.02291,2,157,5.92141,2,34,5.16255,2,32,0,0,0,0.150073,0.148857,0.15121,0.150071,0.14886,0.151207,0.270177,0.26602,0.273463,0.270173,0.266027,0.273447,1.80031,1.8003,5.6412
0.155,7.15544,2,210,5.93534,2,34,5.17958,2,34,0,0,0,0.155095,0.153963,0.155983,0.155096,0.153967,0.15598,0.279321,0.275037,0.28224,0.279323,0.275043,0.282243,1.80096,1.80097,5.64366
0.160,7.30232,2,177,5.95964,2,35,5.2023,2,32,0,0,0,0.160132,0.159087,0.161083,0.160129,0.1591,0.161083,0.288289,0.285193,0.291183,0.288286,0.285233,0.291183,1.80032,1.80034,5.65698
0.165,7.54452,2,282,5.98686,2,38,5.22529,2,34,0,0,0,0.165183,0.164203,0.166453,0.165182,0.164197,0.16645,0.297368,0.293813,0.300543,0.297368,0.293817,0.300557,1.80023,1.80024,5.66687
0.170,7.76429,2,230,6.01116,2,34,5.25616,2,31,0,0,0,0.170181,0.169017,0.171337,0.170181,0.169013,0.17133,0.306336,0.302677,0.31067,0.30634,0.302683,0.310693,1.80006,1.80008,5.67736
0.175,7.93914,2,275,6.0233,2,35,5.26164,2,35,0,0,0,0.175217,0.174117,0.176273,0.175218,0.174123,0.17627,0.315385,0.312637,0.31849,0.315389,0.312643,0.31851,1.79997,1.79998,5.68078
0.180,8.4577,2,358,6.06213,2,35,5.30434,2,35,0,0,0,0.18028,0.178787,0.181217,0.18028,0.178787,0.18121,0.324327,0.32116,0.326523,0.324323,0.32116,0.326517,1.79901,1.799,5.69639
0.185,8.63054,2,274,6.07269,2,36,5.31555,2,32,0,0,0,0.18528,0.18345,0.18669,0.185279,0.183453,0.18669,0.333208,0.331463,0.33741,0.333208,0.33147,0.337397,1.7984,1.79841,5.69935
0.190,9.04883,2,263,6.09857,2,34,5.33684,2,31,0,0,0,0.190258,0.18945,0.191683,0.190257,0.189447,0.191677,0.34208,0.339013,0.34423,0.342077,0.339013,0.344227,1.79798,1.79797,5.7134
0.195,9.65404,2,425,6.12059,2,35,5.36113,2,32,0,0,0,0.195212,0.19321,0.1966,0.195213,0.19321,0.196593,0.350996,0.34645,0.353823,0.350998,0.34646,0.353837,1.79803,1.79803,5.71684
0.200,10.1114,2,366,6.12874,2,35,5.36717,2,34,0,0,0,0.200214,0.19899,0.201843,0.200219,0.19898,0.201847,0.360125,0.35611,0.364773,0.360137,0.3561,0.364827,1.7987,1.79872,5.72363
0.205,10.8775,2,463,6.16183,2,40,5.39726,2,40,0,0,0,0.205178,0.203447,0.206533,0.205174,0.203413,0.206537,0.369072,0.365927,0.371617,0.369073,0.365933,0.37157,1.79879,1.79883,5.7315
