Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,7.3734,1,36,7.37336,1,36,6.57991,1,32,0,0,0,0.00499391,0.00471,0.00536,0.00499401,0.00470333,0.00528333,0.00895208,0.00824333,0.00963,0.0089525,0.00825,0.00979,1.7926,1.79265,7.57431
0.010,7.42208,1,41,7.42181,1,41,6.61645,1,37,0,0,0,0.0100062,0.00962333,0.01048,0.0100061,0.00947333,0.0105233,0.0180378,0.0172933,0.0192367,0.0180376,0.01706,0.0190833,1.80265,1.80265,7.60711
0.015,7.45596,1,43,7.45535,1,43,6.66352,1,40,0,0,0,0.0150311,0.0145233,0.0156967,0.015031,0.0144667,0.0156933,0.02704,0.0259333,0.0284833,0.02704,0.02496,0.0285367,1.79893,1.79894,7.6394
0.020,7.47835,1,45,7.47718,1,45,6.68174,1,45,0,0,0,0.020063,0.0194867,0.0205667,0.0200629,0.0194767,0.0206967,0.0360579,0.0347767,0.0372567,0.0360579,0.0339367,0.0374733,1.79723,1.79724,7.65815
0.025,7.51625,1,42,7.51457,1,42,6.70955,1,40,0,0,0,0.0250671,0.02449,0.0257333,0.0250666,0.0244133,0.02571,0.0451318,0.0439833,0.0464533,0.0451313,0.0435933,0.04701,1.80044,1.80045,7.68492
0.030,7.56062,1,49,7.55814,1,49,6.75948,1,45,0,0,0,0.0300682,0.02949,0.0307167,0.0300681,0.0293267,0.03087,0.0541228,0.0526633,0.0563,0.0541224,0.0526167,0.0564733,1.8,1.8,7.7233
0.035,7.5867,1,56,7.58353,1,56,6.78359,1,56,0,0,0,0.0350706,0.0342367,0.0362133,0.0350701,0.03431,0.0358933,0.0631154,0.0612733,0.06533,0.0631147,0.0615967,0.06488,1.79966,1.79967,7.74344
0.040,7.62551,1,60,7.621,1,60,6.82082,1,56,0,0,0,0.0400941,0.0389867,0.0411167,0.0400937,0.0393067,0.0407833,0.072177,0.0700667,0.0745967,0.0721762,0.0700933,0.0740367,1.80019,1.80019,7.77409
0.045,7.66263,1,56,7.65661,1,56,6.85274,1,56,0,0,0,0.0450691,0.04441,0.0457233,0.0450685,0.04412,0.04579,0.0810798,0.07946,0.0826367,0.0810789,0.0792533,0.0831967,1.79901,1.79901,7.80444
0.050,7.70195,1,49,7.69442,1,49,6.88916,1,46,0,0,0,0.050078,0.04917,0.05091,0.0500772,0.0487267,0.0508767,0.090079,0.0880267,0.09225,0.0900778,0.0871933,0.0923833,1.79877,1.79878,7.8368
0.055,7.74278,1,56,7.73343,1,56,6.93122,1,56,0,0,0,0.055088,0.0541533,0.0558567,0.0550871,0.0537733,0.0558933,0.0990448,0.0965533,0.101737,0.0990431,0.0960333,0.101443,1.79794,1.79794,7.86954
0.060,7.77503,1,60,7.76319,1,60,6.9636,1,60,0,0,0,0.0600776,0.0585933,0.0612533,0.0600773,0.0590933,0.0612433,0.108018,0.105313,0.110653,0.108017,0.105353,0.110423,1.79797,1.79796,7.89325
0.065,7.82334,1,60,7.80939,1,60,7.01574,1,60,0,0,0,0.0651088,0.0641933,0.06608,0.0651082,0.0640133,0.0660567,0.117103,0.115033,0.120723,0.117101,0.114093,0.119353,1.79857,1.79857,7.93173
