Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,9.1961,1,47,9.19599,1,47,8.41012,1,47,0,0,0,0.00499033,0.00471667,0.00534333,0.00499043,0.00459,0.00531333,0.0089878,0.00840667,0.00970333,0.00898803,0.00812333,0.00962,1.80104,1.80105,9.38914
0.010,9.21894,1,46,9.2188,1,46,8.41647,1,42,0,0,0,0.00998667,0.00936667,0.0104867,0.00998667,0.00950333,0.01048,0.0179423,0.01658,0.0193267,0.0179422,0.01699,0.01926,1.79662,1.79662,9.41086
0.015,9.24936,1,51,9.2487,1,51,8.43501,1,51,0,0,0,0.0149928,0.0145567,0.0154833,0.0149927,0.0142867,0.0155133,0.026992,0.0261067,0.0279833,0.0269916,0.0253933,0.0283333,1.80033,1.80032,9.43147
0.020,9.29756,1,53,9.2965,1,53,8.48317,1,53,0,0,0,0.0200148,0.0193933,0.0204933,0.0200151,0.0192767,0.0205467,0.0360539,0.0345267,0.0374667,0.0360544,0.03414,0.0380133,1.80136,1.80136,9.47213
0.025,9.33383,1,55,9.33226,1,55,8.5396,1,52,0,0,0,0.0250124,0.0244033,0.0257733,0.0250127,0.02418,0.0256767,0.0450406,0.0430667,0.0476533,0.0450409,0.0429467,0.04697,1.80073,1.80072,9.50178
0.030,9.37242,1,57,9.36989,1,57,8.56916,1,57,0,0,0,0.0299992,0.0292567,0.0307333,0.0299993,0.0291,0.03067,0.0539514,0.05259,0.0555367,0.0539505,0.05194,0.0560967,1.79843,1.7984,9.53601
0.035,9.42574,1,72,9.42203,1,72,8.6194,1,72,0,0,0,0.0350134,0.0342567,0.0357733,0.0350135,0.03394,0.0358733,0.0629563,0.06123,0.0649167,0.0629563,0.06083,0.0649767,1.79806,1.79806,9.58266
0.040,9.47058,1,76,9.46598,1,76,8.66888,1,72,0,0,0,0.0400115,0.03908,0.0410533,0.0400115,0.03895,0.0407833,0.0719575,0.0699133,0.0735333,0.0719578,0.0697233,0.0736367,1.79842,1.79843,9.61994
0.045,9.50966,1,76,9.50357,1,76,8.70256,1,72,0,0,0,0.0450037,0.04406,0.0459233,0.0450039,0.0440767,0.0459133,0.080922,0.0782933,0.08343,0.0809218,0.0787033,0.08318,1.79812,1.79811,9.65139
0.050,9.55669,1,72,9.54901,1,72,8.74873,1,72,0,0,0,0.049987,0.0487667,0.0509033,0.0499869,0.0489367,0.0510967,0.0898885,0.0877267,0.0924967,0.0898884,0.0868667,0.0920867,1.79824,1.79824,9.69036
0.055,9.60812,1,75,9.59831,1,75,8.79769,1,75,0,0,0,0.0549903,0.0539767,0.0560667,0.0549905,0.0539267,0.05629,0.0988774,0.0963133,0.101183,0.098878,0.0959567,0.101787,1.79809,1.79809,9.73304
0.060,9.65566,1,77,9.64364,1,77,8.84198,1,77,0,0,0,0.059997,0.0590567,0.0614033,0.0599968,0.05903,0.0609333,0.107866,0.105413,0.11097,0.107866,0.104723,0.110307,1.79786,1.79786,9.77169
0.065,9.70997,1,78,9.69531,1,78,8.89253,1,75,0,0,0,0.0650001,0.0638933,0.0659967,0.0650003,0.06396,0.0661167,0.116849,0.114133,0.120103,0.116849,0.11304,0.119623,1.79768,1.79767,9.81666
0.070,9.75725,1,82,9.73989,1,82,8.94205,1,78,0,0,0,0.0699817,0.0684767,0.0712933,0.0699816,0.0688367,0.07106,0.125844,0.123457,0.128953,0.125844,0.121747,0.128357,1.79825,1.79824,9.85334
0.075,9.81399,1,84,9.79302,1,84,8.99614,1,84,0,0,0,0.0749678,0.0740433,0.0760367,0.0749679,0.0738833,0.0759367,0.134827,0.131843,0.1385,0.134826,0.13187,0.13756,1.79847,1.79845,9.90006
0.080,9.86934,1,90,9.84488,1,90,9.04105,1,86,0,0,0,0.0799746,0.0787233,0.08123,0.0799747,0.0790433,0.0813867,0.143847,0.14111,0.146473,0.143847,0.141073,0.14672,1.79866,1.79866,9.94333
0.085,9.92048,1,88,9.89142,1,88,9.09111,1,85,0,0,0,0.0849741,0.08368,0.08632,0.0849749,0.08369,0.0863833,0.152912,0.1504,0.15617,0.152913,0.1497,0.155593,1.79951,1.79951,9.98204
0.090,9.97992,1,92,9.94557,1,92,9.14091,1,88,0,0,0,0.0899731,0.0884767,0.0915033,0.0899735,0.0886967,0.0915167,0.161939,0.15789,0.165037,0.161941,0.158277,0.165603,1.79986,1.79987,10.0271
0.095,10.0378,1,96,9.99883,1,96,9.19495,1,96,0,0,0,0.0949854,0.09358,0.0966667,0.0949861,0.0937133,0.09649,0.171009,0.168347,0.174117,0.171011,0.167323,0.175293,1.80037,1.80037,10.0728
0.100,10.1018,1,97,10.0561,1,97,9.25475,1,97,0,0,0,0.0999934,0.09874,0.101247,0.0999946,0.0982433,0.101277,0.180068,0.176433,0.18295,0.18007,0.176137,0.18454,1.80079,1.8008,10.1215
0.105,10.1672,1,101,10.1148,1,101,9.31089,1,101,0,0,0,0.104986,0.103097,0.106463,0.104986,0.103323,0.106327,0.189075,0.185497,0.191993,0.189075,0.18539,0.19379,1.80095,1.80095,10.1714
0.110,10.2278,1,92,10.167,1,92,9.36089,1,91,0,0,0,0.110001,0.10871,0.111103,0.110001,0.108267,0.111257,0.198084,0.194827,0.201177,0.198084,0.194067,0.202763,1.80074,1.80075,10.2158
0.115,10.293,1,93,10.2245,1,93,9.41525,1,93,0,0,0,0.114973,0.11351,0.11627,0.114973,0.113073,0.116283,0.207023,0.2037,0.210023,0.207023,0.202873,0.211983,1.80063,1.80063,10.2647
0.120,10.3634,1,97,10.2861,1,97,9.48042,1,94,0,0,0,0.119954,0.118333,0.121467,0.119955,0.118083,0.121187,0.216029,0.212933,0.21992,0.216029,0.211977,0.221093,1.80093,1.80092,10.3169
0.125,10.4283,1,90,10.3409,1,89,9.53296,1,89,0,0,0,0.124939,0.123657,0.126233,0.124938,0.12312,0.126197,0.225039,0.220383,0.22836,0.225039,0.220327,0.229617,1.8012,1.8012,10.3625
0.130,10.5023,1,91,10.4033,1,91,9.59539,1,89,0,0,0,0.129921,0.128427,0.131523,0.129922,0.12797,0.131373,0.233919,0.230697,0.237847,0.233919,0.229773,0.238767,1.80047,1.80046,10.416
0.135,10.5795,1,98,10.4686,1,98,9.66133,1,98,0,0,0,0.134931,0.133773,0.136297,0.134931,0.13283,0.136213,0.24294,0.2374,0.24626,0.242942,0.238373,0.247913,1.80048,1.80049,10.472
0.140,10.6604,1,98,10.5336,1,98,9.72935,1,97,0,0,0,0.139943,0.138633,0.14135,0.139944,0.137693,0.141427,0.251936,0.248167,0.25539,0.251938,0.247523,0.2562,1.80027,1.80028,10.5267
0.145,10.7376,1,117,10.5963,1,117,9.79182,1,117,0,0,0,0.144948,0.143397,0.14653,0.144949,0.142597,0.146287,0.260894,0.256777,0.2656,0.260895,0.256397,0.265123,1.79992,1.79991,10.5804
0.150,10.823,1,116,10.6653,1,116,9.85499,1,112,0,0,0,0.149943,0.148577,0.151407,0.149945,0.147697,0.15143,0.269881,0.26515,0.27413,0.269882,0.264867,0.27376,1.79988,1.79988,10.6389
0.155,10.9069,1,119,10.7285,1,110,9.92294,1,110,0,0,0,0.154934,0.153793,0.156287,0.154935,0.15293,0.15659,0.278884,0.275433,0.282247,0.278886,0.273267,0.28332,1.80002,1.80002,10.6901
0.160,10.9933,1,112,10.7954,1,112,9.98562,1,112,0,0,0,0.159923,0.158577,0.161377,0.159924,0.15799,0.161633,0.287869,0.284177,0.291377,0.287873,0.283137,0.292453,1.80004,1.80006,10.7469
0.165,11.0917,1,98,10.8698,1,98,10.0597,1,94,0,0,0,0.164939,0.16324,0.16707,0.16494,0.16334,0.1663,0.296973,0.292,0.302587,0.296975,0.292027,0.30127,1.80051,1.8005,10.8085
0.170,11.1831,1,103,10.934,1,103,10.1217,1,103,0,0,0,0.169938,0.168383,0.17219,0.169939,0.168093,0.171497,0.305994,0.301427,0.310907,0.305997,0.30226,0.31046,1.80062,1.80062,10.8616
0.175,11.2753,1,121,11.0006,1,121,10.1864,1,117,0,0,0,0.174945,0.173597,0.176583,0.174947,0.17309,0.176517,0.314997,0.312173,0.320063,0.314999,0.311347,0.318813,1.80055,1.80054,10.9161
0.180,11.3798,1,124,11.0716,1,124,10.2617,1,120,0,0,0,0.179945,0.177993,0.181293,0.179945,0.17815,0.18169,0.323931,0.318233,0.32859,0.323931,0.320197,0.327887,1.80017,1.80017,10.9751
0.185,11.493,1,109,11.1487,1,109,10.3407,1,109,0,0,0,0.184959,0.183323,0.18736,0.18496,0.18336,0.186693,0.332949,0.329027,0.337433,0.33295,0.329397,0.337077,1.80012,1.80012,11.0384
0.190,11.6059,1,116,11.2204,1,116,10.407,1,116,0,0,0,0.189947,0.18799,0.19175,0.189949,0.188383,0.191457,0.341885,0.336563,0.346003,0.341888,0.337807,0.3463,1.7999,1.7999,11.0975
0.195,11.721,1,116,11.2961,1,116,10.483,1,116,0,0,0,0.194954,0.193313,0.1966,0.194954,0.193107,0.19675,0.350874,0.346693,0.35434,0.350877,0.345773,0.355867,1.79979,1.79979,11.1602
0.200,11.8538,1,122,11.376,1,121,10.5649,1,117,0,0,0,0.199925,0.19849,0.201613,0.199926,0.198293,0.201763,0.359827,0.356017,0.363567,0.359828,0.355493,0.364337,1.79981,1.7998,11.2254
0.205,11.9954,1,117,11.4591,1,117,10.649,1,117,0,0,0,0.204924,0.203007,0.2064,0.204925,0.20318,0.20705,0.368878,0.36508,0.372867,0.368877,0.363603,0.372897,1.80007,1.80006,11.2934
0.210,12.1234,1,131,11.5295,1,124,10.7094,1,120,0,0,0,0.209924,0.20745,0.211827,0.209925,0.207587,0.21208,0.377887,0.371287,0.383113,0.377889,0.373733,0.38187,1.80012,1.80012,11.3492
0.215,12.2753,1,139,11.609,1,139,10.7895,1,139,0,0,0,0.214928,0.21299,0.216557,0.214927,0.212717,0.217413,0.386851,0.381937,0.39091,0.386847,0.38178,0.39158,1.79991,1.7999,11.4122
0.220,12.4363,1,123,11.6951,1,120,10.8752,1,119,0,0,0,0.219924,0.21784,0.221677,0.219924,0.217633,0.222783,0.395876,0.39102,0.400113,0.395877,0.39112,0.400703,1.80006,1.80006,11.4815
0.225,12.6228,1,121,11.7812,1,121,10.9601,1,121,0,0,0,0.224927,0.223063,0.226863,0.224928,0.22265,0.227977,0.404862,0.400087,0.410107,0.404865,0.400053,0.409577,1.79997,1.79998,11.5505
0.230,12.7949,1,131,11.8632,1,125,11.0472,1,125,0,0,0,0.229911,0.227857,0.23182,0.229911,0.227957,0.233517,0.413828,0.409187,0.418113,0.413828,0.409793,0.419437,1.79995,1.79995,11.6158
0.235,12.9915,1,147,11.9493,1,147,11.1265,1,147,0,0,0,0.234913,0.23283,0.236733,0.234914,0.233063,0.23862,0.422828,0.417393,0.427023,0.422829,0.418617,0.42795,1.79994,1.79993,11.6831
0.240,13.2126,1,140,12.0382,1,140,11.2136,1,140,0,0,0,0.239944,0.238363,0.241683,0.239946,0.238207,0.244037,0.431912,0.427113,0.438337,0.431913,0.42663,0.437337,1.80005,1.80004,11.7525
0.245,13.4473,1,149,12.1287,1,149,11.3083,1,149,0,0,0,0.244956,0.243207,0.246643,0.244955,0.24293,0.248817,0.440889,0.435657,0.446313,0.440886,0.43453,0.44616,1.79987,1.79987,11.8227
0.250,13.7001,1,129,12.2104,1,129,11.3886,1,129,0,0,0,0.249943,0.247713,0.25169,0.249944,0.24786,0.2538,0.449865,0.44573,0.453953,0.449865,0.443887,0.455117,1.79987,1.79987,11.8848
0.255,13.9923,1,157,12.3088,1,145,11.4831,1,145,0,0,0,0.254955,0.252993,0.25691,0.254954,0.252713,0.25839,0.458946,0.452947,0.466443,0.458944,0.452163,0.463703,1.80011,1.8001,11.9623
