Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,3.93369,1,20,3.93369,1,20,3.16993,1,16,0,0,0,0.00503313,0.00481,0.00530333,0.00503292,0,0.02034,0.00901479,0.00842333,0.00938667,0.00901458,0,0.03638,1.79109,1.79113,4.13846
0.010,3.96621,1,20,3.96611,1,20,3.15942,1,16,0,0,0,0.0100071,0.00965667,0.0101967,0.0100071,0,0.0406567,0.0181071,0.0176567,0.0190767,0.0181073,0,0.0732967,1.80943,1.80945,4.14779
0.015,3.98026,1,28,3.97986,1,28,3.18962,1,24,0,0,0,0.0149985,0.0147133,0.0155233,0.0149983,0,0.0602167,0.0269394,0.0256067,0.0280867,0.0269392,0,0.10803,1.79613,1.79614,4.17179
0.020,4.01395,1,24,4.01323,1,24,3.23181,1,24,0,0,0,0.019986,0.01961,0.02052,0.0199863,0,0.0805133,0.0358335,0.03493,0.03684,0.0358337,0,0.14498,1.79293,1.79292,4.20313
0.025,4.02645,1,23,4.02525,1,23,3.23405,1,19,0,0,0,0.0249837,0.0244333,0.0254267,0.024984,0,0.1007,0.0448033,0.0432067,0.0459867,0.0448042,0,0.18158,1.7933,1.79332,4.20957
0.030,4.06836,1,28,4.06679,1,28,3.26012,1,25,0,0,0,0.0300242,0.0295467,0.03048,0.0300242,0,0.12085,0.0540175,0.05332,0.0554333,0.0540175,0,0.21757,1.79913,1.79913,4.24168
0.035,4.11135,1,36,4.10913,1,36,3.30053,1,36,0,0,0,0.0350258,0.03456,0.0356267,0.0350256,0,0.14059,0.0631567,0.0616533,0.06481,0.0631565,0,0.253737,1.80315,1.80315,4.27504
0.040,4.15578,1,29,4.15284,1,29,3.35,1,29,0,0,0,0.0400277,0.03946,0.04073,0.0400277,0,0.160507,0.0721635,0.0709767,0.07374,0.0721644,0,0.2902,1.80284,1.80286,4.31424
0.045,4.2055,1,32,4.20096,1,32,3.39075,1,32,0,0,0,0.0450169,0.0439567,0.0456967,0.0450169,0,0.18061,0.0811485,0.0793167,0.08211,0.0811488,0,0.325537,1.80262,1.80263,4.35608
0.050,4.25316,1,30,4.24707,1,30,3.4494,1,30,0,0,0,0.0499998,0.0493,0.0506933,0.05,0,0.201593,0.0900577,0.0887133,0.0915567,0.0900585,0,0.361353,1.80116,1.80117,4.39809
