Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,6.54465,1,36,6.54461,1,36,5.73826,1,32,0,0,0,0.00499391,0.00471,0.00536,0.00499396,0.00471,0.00536,0.00895208,0.00824333,0.00963,0.00895208,0.00824333,0.00963,1.7926,1.79258,6.74541
0.010,6.6176,1,41,6.6174,1,37,5.81089,1,37,0,0,0,0.0100062,0.00962333,0.01048,0.0100061,0.00962333,0.01048,0.0180378,0.0172933,0.0192367,0.0180378,0.0172933,0.0192367,1.80265,1.80268,6.8009
0.015,6.67991,1,40,6.67941,1,40,5.88509,1,36,0,0,0,0.0150311,0.0145233,0.0156967,0.015031,0.0145233,0.0156967,0.02704,0.0259333,0.0284833,0.0270398,0.0259333,0.0284833,1.79893,1.79893,6.86024
0.020,6.72928,1,42,6.72876,1,39,5.93122,1,36,0,0,0,0.020063,0.0194867,0.0205667,0.020063,0.0194867,0.0205667,0.0360579,0.0347767,0.0372567,0.0360586,0.0347767,0.0372567,1.79723,1.79727,6.90554
0.025,6.78932,1,43,6.78832,1,42,5.99147,1,38,0,0,0,0.0250671,0.02449,0.0257333,0.0250668,0.0244867,0.0257367,0.0451318,0.0439833,0.0464533,0.0451317,0.0439833,0.0464567,1.80044,1.80046,6.95401
0.030,6.85062,1,43,6.84909,1,40,6.04639,1,38,0,0,0,0.0300682,0.02949,0.0307167,0.0300679,0.0294933,0.0307133,0.0541228,0.0526633,0.0563,0.054122,0.0526667,0.0563,1.8,1.8,7.00843
0.035,6.8868,1,45,6.88446,1,43,6.07355,1,39,0,0,0,0.0350706,0.0342367,0.0362133,0.0350702,0.0342333,0.0362133,0.0631154,0.0612733,0.06533,0.063115,0.0612733,0.06533,1.79966,1.79968,7.03728
0.040,6.94606,1,52,6.94262,1,52,6.13905,1,52,0,0,0,0.0400941,0.0389867,0.0411167,0.0400937,0.0389867,0.04112,0.072177,0.0700667,0.0745967,0.0721762,0.0700667,0.0746,1.80019,1.80019,7.08873
0.045,7.01273,1,54,7.00844,1,54,6.19532,1,54,0,0,0,0.0450691,0.04441,0.0457233,0.0450684,0.04441,0.0457233,0.0810798,0.07946,0.0826367,0.081078,0.0794633,0.08265,1.79901,1.799,7.14798
0.050,7.04869,1,57,7.04323,1,57,6.23212,1,57,0,0,0,0.050078,0.04917,0.05091,0.0500778,0.0491667,0.05091,0.090079,0.0880267,0.09225,0.0900784,0.0880333,0.0922433,1.79877,1.79877,7.17605
