Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,9.83894,1,60,9.8271,1,60,9.02906,1,60,0,0,0,0.00499033,0.00471667,0.00534333,0.00499033,0,0.05068,0.0089878,0.00840667,0.00970333,0.00898793,0,0.0923467,1.80104,1.80107,10.0182
0.010,9.94046,1,72,9.91663,1,72,9.12127,1,72,0,0,0,0.00998667,0.00936667,0.0104867,0.0099866,0,0.100853,0.0179423,0.01658,0.0193267,0.0179423,0,0.182543,1.79662,1.79664,10.1033
0.015,10.1154,1,91,10.0768,1,91,9.26964,1,87,0,0,0,0.0149928,0.0145567,0.0154833,0.0149926,0,0.150963,0.026992,0.0261067,0.0279833,0.0269916,0,0.27351,1.80033,1.80032,10.2509
0.020,10.343,1,98,10.2886,1,98,9.48889,1,98,0,0,0,0.0200148,0.0193933,0.0204933,0.0200149,0,0.20122,0.0360539,0.0345267,0.0374667,0.0360541,0,0.363033,1.80136,1.80136,10.4519
0.025,10.6068,1,111,10.5334,1,111,9.73085,1,111,0,0,0,0.0250124,0.0244033,0.0257733,0.0250123,0,0.251327,0.0450406,0.0430667,0.0476533,0.045041,0,0.454557,1.80073,1.80075,10.6869
0.030,10.9392,1,111,10.8461,1,111,10.0592,1,111,0,0,0,0.0299992,0.0292567,0.0307333,0.0299992,0,0.302097,0.0539514,0.05259,0.0555367,0.0539508,0,0.54575,1.79843,1.7984,10.9897
0.035,11.327,1,112,11.2079,1,112,10.4088,1,108,0,0,0,0.0350134,0.0342567,0.0357733,0.0350134,0,0.353487,0.0629563,0.06123,0.0649167,0.0629559,0,0.634893,1.79806,1.79805,11.3395
0.040,11.7668,1,125,11.6182,1,125,10.8137,1,125,0,0,0,0.0400115,0.03908,0.0410533,0.0400106,0,0.403297,0.0719575,0.0699133,0.0735333,0.0719569,0,0.72263,1.79842,1.79844,11.7343
0.045,12.2801,1,138,12.0959,1,138,11.302,1,134,0,0,0,0.0450037,0.04406,0.0459233,0.0450031,0,0.45082,0.080922,0.0782933,0.08343,0.0809203,0,0.812347,1.79812,1.79811,12.1951
0.050,12.9198,1,143,12.6901,1,143,11.9014,1,143,0,0,0,0.049987,0.0487667,0.0509033,0.0499875,0,0.501317,0.0898885,0.0877267,0.0924967,0.0898887,0,0.90316,1.79824,1.79822,12.7704
0.055,13.6285,1,170,13.3415,1,170,12.5343,1,166,0,0,0,0.0549903,0.0539767,0.0560667,0.0549894,0,0.55139,0.0988774,0.0963133,0.101183,0.0988781,0,0.9937,1.79809,1.79813,13.3987
0.060,14.4617,1,197,14.1027,1,197,13.2965,1,197,0,0,0,0.059997,0.0590567,0.0614033,0.0556117,0,0.557607,0.107866,0.105413,0.11097,0.1,0,1,1.79786,1.79818,14.1325
0.065,15.447,1,169,14.9941,1,169,14.1871,1,169,0,0,0,0.0650001,0.0638933,0.0659967,0.0556116,0,0.55763,0.116849,0.114133,0.120103,0.1,0,1,1.79768,1.79819,14.9924
0.070,16.6433,1,180,16.0492,1,180,15.2501,1,178,0,0,0,0.0699817,0.0684767,0.0712933,0.0556125,0,0.557633,0.125844,0.123457,0.128953,0.1,0,1,1.79825,1.79816,16.0037
0.075,18.0552,1,228,17.2716,1,228,16.492,1,228,0,0,0,0.0749678,0.0740433,0.0760367,0.0556119,0,0.5576,0.134827,0.131843,0.1385,0.1,0,1,1.79847,1.79818,17.1737
0.080,19.8628,1,204,18.7827,1,195,18.0012,1,234,0,0,0,0.0799746,0.0787233,0.08123,0.0556124,0,0.557623,0.143847,0.14111,0.146473,0.1,0,1,1.79866,1.79816,18.6155
0.085,22.3283,1,284,20.7056,1,212,19.8978,1,218,0,0,0,0.0849741,0.08368,0.08632,0.0556115,0,0.557627,0.152912,0.1504,0.15617,0.1,0,1,1.79951,1.79819,20.437
0.090,25.8857,1,462,23.1293,1,261,22.3112,1,261,0,0,0,0.0899731,0.0884767,0.0915033,0.0556114,0,0.557623,0.161939,0.15789,0.165037,0.1,0,1,1.79986,1.79819,22.7084
0.095,32.9603,1,1014,26.5306,1,235,25.6707,1,273,0,0,0,0.0949854,0.09358,0.0966667,0.0556121,0,0.557647,0.171009,0.168347,0.174117,0.1,0,1,1.80037,1.79817,25.8352
0.100,1252.4,1,87108,31.4256,1,298,30.5706,1,310,0,0,0,0.0999934,0.09874,0.101247,0.0556133,0,0.557693,0.180068,0.176433,0.18295,0.1,0,1,1.80079,1.79813,30.1593
