Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,12.1194,1,60,12.1123,1,60,11.3084,1,60,0,0,0,0.00499866,0.00456,0.00529667,0.00499866,0.00467,0.00529333,0.00901014,0.00818667,0.00976667,0.00900986,0.00817,0.00979667,1.80251,1.80246,12.3009
0.010,12.1732,1,69,12.1572,1,69,11.358,1,69,0,0,0,0.0100135,0.00957667,0.0104767,0.0100136,0.00949667,0.01041,0.0180194,0.0167133,0.0191667,0.0180199,0.01667,0.0190967,1.79951,1.79953,12.3406
0.015,12.2154,1,88,12.1905,1,88,11.395,1,88,0,0,0,0.0150321,0.0144467,0.0157333,0.0150322,0.01454,0.01568,0.0270613,0.02574,0.02888,0.0270612,0.02577,0.0284033,1.80023,1.80021,12.364
0.020,12.2731,1,67,12.2394,1,67,11.4368,1,67,0,0,0,0.0200388,0.01896,0.02063,0.0200387,0.0194033,0.0207667,0.0360503,0.03408,0.03753,0.0360502,0.0344467,0.0375867,1.79903,1.79902,12.4053
0.025,12.3272,1,88,12.2833,1,88,11.4708,1,88,0,0,0,0.0250457,0.02427,0.0259,0.0250455,0.0243833,0.02565,0.0450287,0.0431233,0.04726,0.045028,0.04292,0.0467467,1.79786,1.79785,12.4403
0.030,12.3785,1,72,12.3222,1,72,11.5368,1,72,0,0,0,0.0300466,0.0291633,0.0308833,0.0300464,0.0293933,0.0308267,0.0540337,0.0523433,0.05599,0.0540341,0.0515367,0.0563333,1.79833,1.79836,12.4686
0.035,12.4287,1,75,12.3597,1,75,11.5636,1,75,0,0,0,0.0350705,0.0341,0.0359567,0.0350703,0.0341433,0.03581,0.0630685,0.0610333,0.0652,0.0630686,0.0607067,0.0652233,1.79833,1.79835,12.4959
0.040,12.491,1,88,12.409,1,88,11.6091,1,88,0,0,0,0.0400701,0.0391767,0.0412133,0.0400698,0.0390767,0.0411233,0.0720535,0.07,0.07444,0.0720531,0.06937,0.0747,1.79818,1.79819,12.535
0.045,12.5514,1,80,12.4548,1,76,11.6586,1,75,0,0,0,0.045052,0.04408,0.0459767,0.0450518,0.0441,0.0460533,0.0809881,0.07868,0.0831867,0.0809882,0.0786,0.0843467,1.79766,1.79767,12.5708
0.050,12.6155,1,88,12.5016,1,88,11.7059,1,88,0,0,0,0.0500313,0.04901,0.0508733,0.0500313,0.04913,0.0512033,0.08998,0.0875233,0.0921367,0.0899806,0.0876133,0.09279,1.79847,1.79849,12.6054
0.055,12.6776,1,94,12.5458,1,94,11.7441,1,92,0,0,0,0.0550172,0.0536967,0.0561433,0.0550174,0.0540667,0.0564267,0.0989539,0.09659,0.10164,0.0989544,0.0962433,0.102707,1.7986,1.7986,12.6389
0.060,12.7491,1,88,12.5977,1,88,11.7899,1,88,0,0,0,0.0600335,0.05899,0.0610867,0.0600333,0.0589233,0.06113,0.108034,0.105183,0.111413,0.108033,0.1052,0.1113,1.79956,1.79956,12.678
0.065,12.8298,1,112,12.6551,1,112,11.8565,1,108,0,0,0,0.0650391,0.06378,0.0665867,0.0650387,0.06389,0.06638,0.117071,0.114347,0.12029,0.11707,0.114527,0.12022,1.8,1.80001,12.7231
0.070,12.9058,1,100,12.7076,1,100,11.9058,1,96,0,0,0,0.0700516,0.0683867,0.0712833,0.0700518,0.0688967,0.0714433,0.126149,0.12274,0.128863,0.126149,0.12305,0.129393,1.8008,1.8008,12.7604
0.075,12.9791,1,94,12.7533,1,94,11.9629,1,92,0,0,0,0.0750506,0.0737533,0.07642,0.0750505,0.0735133,0.0760167,0.135162,0.1309,0.138273,0.135162,0.131807,0.137917,1.80094,1.80095,12.7937
0.080,13.0722,1,100,12.8165,1,100,12.0155,1,98,0,0,0,0.080056,0.07884,0.0811733,0.0800564,0.0786467,0.0811867,0.144157,0.141343,0.147373,0.144158,0.140647,0.146837,1.8007,1.8007,12.8433
0.085,13.1596,1,97,12.8728,1,97,12.0704,1,97,0,0,0,0.0850664,0.0832533,0.0864733,0.0850667,0.0835,0.0860633,0.153203,0.149443,0.15688,0.153204,0.149647,0.156087,1.80098,1.80099,12.8866
0.090,13.2525,1,102,12.9285,1,102,12.125,1,100,0,0,0,0.0900691,0.0885467,0.0914667,0.0900691,0.08885,0.0912833,0.16217,0.15884,0.165153,0.162169,0.158337,0.165483,1.8005,1.80049,12.9276
0.095,13.3457,1,117,12.9811,1,111,12.1777,1,111,0,0,0,0.0950712,0.0934533,0.0964533,0.0950725,0.09378,0.09641,0.171144,0.168033,0.17495,0.171147,0.167643,0.174583,1.80017,1.80017,12.966
0.100,13.4515,1,111,13.0417,1,111,12.2339,1,109,0,0,0,0.100082,0.0987667,0.101523,0.100082,0.0987067,0.101393,0.180153,0.177253,0.18364,0.180154,0.176957,0.183873,1.80005,1.80006,13.0117
0.105,13.567,1,114,13.1068,1,112,12.2998,1,112,0,0,0,0.105073,0.10369,0.106477,0.105073,0.103533,0.106533,0.189125,0.186487,0.192507,0.189125,0.186113,0.19276,1.79994,1.79994,13.06
0.110,13.6796,1,115,13.166,1,115,12.3599,1,115,0,0,0,0.110082,0.10778,0.11139,0.110083,0.108523,0.11196,0.198163,0.193513,0.20129,0.198163,0.194897,0.202137,1.80013,1.80013,13.1022
0.115,13.7979,1,113,13.2212,1,113,12.4144,1,109,0,0,0,0.115083,0.11364,0.116393,0.115083,0.113607,0.11675,0.207199,0.202893,0.21033,0.207199,0.20377,0.21192,1.80043,1.80043,13.1394
0.120,13.9518,1,130,13.2991,1,117,12.4953,1,113,0,0,0,0.12007,0.118687,0.12167,0.120071,0.118263,0.12196,0.216193,0.211623,0.22023,0.216194,0.21225,0.221193,1.80056,1.80056,13.1972
0.125,14.1,1,125,13.367,1,125,12.5648,1,121,0,0,0,0.125066,0.123817,0.126983,0.125066,0.12341,0.12701,0.225136,0.22089,0.229997,0.225138,0.22059,0.23029,1.80014,1.80015,13.2468
0.130,14.2532,1,121,13.4286,1,121,12.6212,1,121,0,0,0,0.130063,0.128357,0.132153,0.130064,0.128197,0.131897,0.234111,0.22977,0.237603,0.234112,0.229343,0.239137,1.79998,1.79997,13.2894
0.135,14.4234,1,143,13.4968,1,143,12.6926,1,143,0,0,0,0.135064,0.133177,0.137137,0.135065,0.1335,0.13688,0.243084,0.239097,0.248457,0.243087,0.238807,0.248117,1.79977,1.79978,13.3364
0.140,14.5969,1,184,13.5646,1,139,12.7576,1,139,0,0,0,0.140073,0.138377,0.142133,0.140074,0.138333,0.141927,0.252125,0.247693,0.256437,0.252126,0.247357,0.25705,1.79996,1.79996,13.3837
0.145,14.826,1,159,13.6403,1,129,12.8333,1,129,0,0,0,0.145085,0.143377,0.146543,0.145086,0.14322,0.146963,0.261161,0.256087,0.26578,0.261162,0.256473,0.266093,1.80005,1.80005,13.4344
0.150,15.0503,1,133,13.7205,1,124,12.9163,1,124,0,0,0,0.150081,0.14851,0.151733,0.150083,0.148353,0.15174,0.270138,0.266143,0.275763,0.27014,0.266087,0.274517,1.79994,1.79994,13.4903
0.155,15.2982,1,158,13.7915,1,142,12.9858,1,142,0,0,0,0.155078,0.153263,0.156717,0.155078,0.153463,0.15678,0.279134,0.27502,0.283213,0.279134,0.27465,0.283197,1.79995,1.79995,13.5374
0.160,15.5896,1,148,13.8715,1,147,13.063,1,147,0,0,0,0.16006,0.158397,0.161573,0.160061,0.158393,0.16163,0.288117,0.284393,0.29214,0.288119,0.283513,0.292437,1.80005,1.80005,13.59
0.165,15.9001,1,162,13.9515,1,155,13.1388,1,155,0,0,0,0.165063,0.1631,0.166423,0.165064,0.163467,0.166617,0.297106,0.292593,0.300833,0.297109,0.293037,0.301883,1.79996,1.79996,13.6412
0.170,16.2856,1,156,14.0314,1,133,13.2193,1,130,0,0,0,0.170044,0.16847,0.172013,0.170046,0.168133,0.17158,0.306058,0.302277,0.30997,0.306063,0.30124,0.310993,1.79987,1.79988,13.6914
