Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,13.2182,1,70,13.2085,1,70,12.4223,1,67,0,0,0,0.00498339,0.00460333,0.00538667,0.00498335,0.00460333,0.00538667,0.0089563,0.00821667,0.00986667,0.00895638,0.00821667,0.00986667,1.79723,1.79726,13.4034
0.010,13.2366,1,71,13.217,1,71,12.4062,1,68,0,0,0,0.00998194,0.00952,0.0106333,0.00998211,0.00952,0.0106333,0.0179709,0.01678,0.0192467,0.0179713,0.01678,0.0192467,1.80034,1.80035,13.4007
0.015,13.2801,1,72,13.2495,1,72,12.4593,1,70,0,0,0,0.0149825,0.0143067,0.01555,0.0149825,0.0143033,0.01555,0.0269382,0.0256433,0.02851,0.0269381,0.0256433,0.02851,1.79798,1.79797,13.4271
0.020,13.2997,1,75,13.2571,1,75,12.4664,1,71,0,0,0,0.0199847,0.0194667,0.0208033,0.0199845,0.0194667,0.0208,0.0359356,0.0345,0.03783,0.0359355,0.0345,0.03783,1.79816,1.79817,13.4264
0.025,13.3319,1,75,13.2765,1,74,12.4795,1,72,0,0,0,0.0249844,0.02421,0.0256467,0.0249843,0.02421,0.0256467,0.0449068,0.0431433,0.04654,0.0449074,0.04314,0.04654,1.7974,1.79742,13.4379
0.030,13.367,1,104,13.2976,1,104,12.498,1,104,0,0,0,0.0299786,0.02924,0.0307733,0.0299786,0.02924,0.0307733,0.0539195,0.05213,0.05596,0.0539195,0.0521433,0.05596,1.7986,1.7986,13.4495
0.035,13.3984,1,120,13.314,1,120,12.506,1,120,0,0,0,0.0349774,0.0342367,0.0358733,0.0349775,0.0342367,0.0358767,0.0629459,0.0611567,0.0654667,0.0629462,0.0611567,0.06545,1.79962,1.79962,13.4558
0.040,13.4324,1,77,13.3314,1,77,12.5315,1,76,0,0,0,0.0399889,0.0391467,0.0409867,0.0399887,0.0391467,0.0409833,0.072009,0.0696667,0.07408,0.0720085,0.0696667,0.07408,1.80073,1.80072,13.4633
0.045,13.4704,1,80,13.3522,1,76,12.5362,1,75,0,0,0,0.0449701,0.04413,0.0460133,0.04497,0.0441333,0.0460133,0.080976,0.0788633,0.0842433,0.0809753,0.0788633,0.0842367,1.80066,1.80065,13.4755
0.050,13.5156,1,79,13.3773,1,79,12.5717,1,76,0,0,0,0.0499764,0.04892,0.05151,0.0499762,0.04892,0.0515067,0.0899879,0.0868533,0.0925167,0.0899874,0.0868533,0.0925167,1.80061,1.8006,13.4916
0.055,13.5691,1,83,13.4092,1,78,12.6006,1,75,0,0,0,0.054982,0.0535933,0.0560633,0.0549819,0.0535967,0.05607,0.0989778,0.0963233,0.1012,0.0989778,0.0963533,0.1012,1.80018,1.80019,13.5139
0.060,13.6186,1,84,13.4338,1,80,12.6269,1,76,0,0,0,0.0599857,0.0589133,0.0613133,0.0599854,0.0589167,0.0613233,0.107968,0.104723,0.111213,0.107968,0.104723,0.111213,1.7999,1.79991,13.5287
0.065,13.6611,1,84,13.4509,1,78,12.6318,1,77,0,0,0,0.0649985,0.0638667,0.0660133,0.0649982,0.0638667,0.06601,0.117022,0.11463,0.119897,0.117021,0.114637,0.119897,1.80038,1.80038,13.5355
0.070,13.7152,1,104,13.4779,1,104,12.6703,1,104,0,0,0,0.0699986,0.0686933,0.0711733,0.0699983,0.06869,0.07118,0.126019,0.123233,0.12942,0.126019,0.123237,0.12942,1.80031,1.80031,13.5529
0.075,13.7726,1,104,13.5051,1,104,12.6935,1,104,0,0,0,0.07499,0.0734167,0.0760667,0.0749897,0.07342,0.0760567,0.134971,0.131247,0.138787,0.13497,0.131247,0.138747,1.79985,1.79985,13.57
0.080,13.8392,1,112,13.5334,1,112,12.7283,1,112,0,0,0,0.0799878,0.0786433,0.0812033,0.0799874,0.0786467,0.08121,0.143984,0.14032,0.146947,0.143983,0.140327,0.14695,1.80007,1.80007,13.5868
0.085,13.908,1,108,13.5665,1,108,12.7543,1,104,0,0,0,0.0849842,0.08364,0.08641,0.084984,0.0836433,0.08641,0.152967,0.14972,0.156877,0.152966,0.14971,0.156877,1.79995,1.79994,13.6088
0.090,13.9708,1,124,13.5859,1,124,12.7733,1,124,0,0,0,0.08999,0.0882767,0.0914933,0.0899897,0.0882867,0.0914967,0.161986,0.15777,0.165417,0.161986,0.15778,0.165413,1.80005,1.80005,13.6168
0.095,14.0506,1,127,13.6206,1,127,12.8076,1,127,0,0,0,0.0949999,0.0936067,0.0963867,0.0949993,0.0936033,0.0963867,0.170999,0.166893,0.17535,0.170998,0.166897,0.175337,1.79999,1.79999,13.6403
0.100,14.1347,1,135,13.6521,1,135,12.835,1,135,0,0,0,0.100003,0.09821,0.10142,0.100002,0.09821,0.101423,0.180009,0.17718,0.183673,0.180008,0.177163,0.18366,1.80004,1.80004,13.6588
0.105,14.2215,1,145,13.6807,1,126,12.8658,1,126,0,0,0,0.105002,0.10362,0.106463,0.105002,0.103617,0.10646,0.189006,0.18513,0.192463,0.189005,0.185137,0.19246,1.80002,1.80002,13.6753
0.110,14.3197,1,136,13.7126,1,136,12.8931,1,136,0,0,0,0.110003,0.10808,0.11205,0.110002,0.108077,0.112043,0.19802,0.193597,0.202457,0.198018,0.193607,0.20244,1.80014,1.80013,13.693
0.115,14.4288,1,161,13.742,1,143,12.9243,1,139,0,0,0,0.115,0.11298,0.11649,0.115001,0.112983,0.11649,0.207012,0.20274,0.211183,0.207013,0.202727,0.211197,1.8001,1.8001,13.7086
0.120,14.5485,1,156,13.7788,1,156,12.9601,1,156,0,0,0,0.120001,0.11788,0.12139,0.120001,0.11787,0.121393,0.215985,0.21001,0.219877,0.215985,0.210007,0.219857,1.79986,1.79985,13.7322
0.125,14.6769,1,143,13.8065,1,134,12.9826,1,130,0,0,0,0.124991,0.122477,0.126757,0.124991,0.12248,0.126757,0.224941,0.21717,0.229613,0.224939,0.217173,0.22961,1.79965,1.79965,13.745
0.130,14.8409,1,168,13.8459,1,129,13.0229,1,129,0,0,0,0.129994,0.12861,0.13163,0.129994,0.12861,0.13164,0.233907,0.229627,0.239577,0.233907,0.229547,0.239547,1.79937,1.79936,13.7691
0.135,14.9981,1,169,13.8736,1,141,13.0458,1,141,0,0,0,0.135011,0.13331,0.137077,0.135011,0.133303,0.13708,0.242939,0.23854,0.24718,0.242938,0.238547,0.247163,1.7994,1.7994,13.7822
0.140,15.2127,1,190,13.9165,1,139,13.0868,1,138,0,0,0,0.140012,0.138473,0.141673,0.140012,0.138483,0.141667,0.251956,0.247503,0.255883,0.251957,0.247513,0.25588,1.79953,1.79954,13.8068
0.145,15.4487,1,274,13.9434,1,142,13.1194,1,142,0,0,0,0.145017,0.14337,0.146897,0.145016,0.143367,0.146897,0.260933,0.25642,0.265297,0.260932,0.256443,0.26532,1.79933,1.79933,13.8178
0.150,15.7458,1,264,13.9866,1,140,13.1558,1,136,0,0,0,0.15003,0.148493,0.151627,0.150029,0.148507,0.151627,0.269926,0.26537,0.274093,0.269925,0.265367,0.27409,1.79915,1.79915,13.8428
0.155,16.0999,1,475,14.0171,1,142,13.1873,1,141,0,0,0,0.15501,0.153073,0.15654,0.15501,0.153067,0.15655,0.278871,0.274573,0.28329,0.278872,0.274537,0.283293,1.79905,1.79905,13.8558
