Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,15.9005,1,120,15.8884,1,120,15.0919,1,120,0,0,0,0.00498339,0.00460333,0.00538667,0.0049835,0,0.0806467,0.0089563,0.00821667,0.00986667,0.00895643,0,0.1455,1.79723,1.79722,16.0839
0.010,16.2997,1,141,16.2751,1,141,15.4813,1,141,0,0,0,0.00998194,0.00952,0.0106333,0.00998207,0,0.16111,0.0179709,0.01678,0.0192467,0.0179711,0,0.29221,1.80034,1.80034,16.4583
0.015,16.9167,1,193,16.8762,1,193,16.089,1,193,0,0,0,0.0149825,0.0143067,0.01555,0.0149825,0,0.2414,0.0269382,0.0256433,0.02851,0.0269378,0,0.43395,1.79798,1.79795,17.0511
0.020,17.8005,1,198,17.7414,1,198,16.9394,1,194,0,0,0,0.0199847,0.0194667,0.0208033,0.0199848,0,0.321453,0.0359356,0.0345,0.03783,0.0359363,0,0.579,1.79816,1.79818,17.9049
0.025,18.9138,1,213,18.8307,1,213,18.0365,1,209,0,0,0,0.0249844,0.02421,0.0256467,0.024985,0,0.401597,0.0449068,0.0431433,0.04654,0.0449084,0,0.72477,1.7974,1.79741,18.9811
0.030,20.3554,1,251,20.2417,1,251,19.4365,1,251,0,0,0,0.0299786,0.02924,0.0307733,0.0299783,0,0.48166,0.0539195,0.05213,0.05596,0.0539188,0,0.870367,1.7986,1.79859,20.3747
0.035,22.1597,1,296,22.0053,1,296,21.2086,1,296,0,0,0,0.0349774,0.0342367,0.0358733,0.0347297,0,0.55825,0.0629459,0.0611567,0.0654667,0.0625,0,1,1.79962,1.79961,22.1161
0.040,24.4785,1,283,24.2681,1,283,23.4801,1,326,0,0,0,0.0399889,0.0391467,0.0409867,0.0347309,0,0.558333,0.072009,0.0696667,0.07408,0.0625,0,1,1.80073,1.79955,24.3505
0.045,27.3939,1,379,27.1036,1,379,26.3167,1,379,0,0,0,0.0449701,0.04413,0.0460133,0.0347305,0,0.558313,0.080976,0.0788633,0.0842433,0.0625,0,1,1.80066,1.79957,27.1495
0.050,31.4396,1,381,31.0222,1,381,30.2188,1,412,0,0,0,0.0499764,0.04892,0.05151,0.0347304,0,0.558347,0.0899879,0.0868533,0.0925167,0.0625,0,1,1.80061,1.79958,31.016
0.055,37.0935,1,378,36.452,1,378,35.6595,1,453,0,0,0,0.054982,0.0535933,0.0560633,0.0347305,0,0.558317,0.0989778,0.0963233,0.1012,0.0625,0,1,1.80018,1.79957,36.3641
0.060,46.2067,1,422,45.0454,1,422,44.2316,1,524,0,0,0,0.0599857,0.0589133,0.0613133,0.03473,0,0.558327,0.107968,0.104723,0.111213,0.0625,0,1,1.7999,1.7996,44.7994
0.065,67.4855,1,1591,62.7775,1,481,61.6719,1,606,0,0,0,0.0649985,0.0638667,0.0660133,0.0347313,0,0.55837,0.117022,0.11463,0.119897,0.0625,0,1,1.80038,1.79953,62.0094
0.070,25359.7,1,1.16641e+06,92.2405,1,1630,91.6175,1,2962,0,0,0,0.0699986,0.0686933,0.0711733,0.0347252,0,0.557893,0.126019,0.123233,0.12942,0.0625,0,1,1.80031,1.79985,88.7944
