Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,4.85061,2,15,4.82979,2,14,4.03616,2,10,0,0,0,0.00503313,0.00481,0.00530333,0.00503292,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901458,0.00842333,0.00938667,1.79109,1.79113,5.02765
0.010,4.91273,2,21,4.86435,2,15,4.05907,2,11,0,0,0,0.0100071,0.00965667,0.0101967,0.0100069,0.00965667,0.0101967,0.0181071,0.0176567,0.0190767,0.0181075,0.0176567,0.0190767,1.80943,1.80951,5.03448
0.015,4.9564,2,20,4.88628,2,14,4.0995,2,11,0,0,0,0.0149985,0.0147133,0.0155233,0.0149981,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.026939,0.0256067,0.0280867,1.79613,1.79616,5.05876
0.020,5.01489,2,22,4.91228,2,14,4.12173,2,14,0,0,0,0.019986,0.01961,0.02052,0.0199858,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358333,0.03493,0.0368367,1.79293,1.79294,5.07215
0.025,5.07005,2,24,4.93422,2,17,4.13738,2,13,0,0,0,0.0249837,0.0244333,0.0254267,0.024984,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448046,0.0432067,0.0459833,1.7933,1.79333,5.08067
0.030,5.14818,2,27,4.968,2,17,4.17032,2,15,0,0,0,0.0300242,0.0295467,0.03048,0.0300242,0.0295433,0.0304767,0.0540175,0.05332,0.0554333,0.0540175,0.0533167,0.0554333,1.79913,1.79913,5.09204
0.035,5.22899,2,35,5.00492,2,18,4.19927,2,17,0,0,0,0.0350258,0.03456,0.0356267,0.0350256,0.03456,0.0356267,0.0631567,0.0616533,0.06481,0.0631565,0.0616533,0.0648067,1.80315,1.80315,5.10685
0.040,5.31137,2,39,5.0332,2,20,4.22752,2,16,0,0,0,0.0400277,0.03946,0.04073,0.0400275,0.03946,0.0407267,0.0721635,0.0709767,0.07374,0.0721637,0.07098,0.0737367,1.80284,1.80285,5.11833
0.045,5.3949,2,31,5.05958,2,18,4.2538,2,16,0,0,0,0.0450169,0.0439567,0.0456967,0.0450171,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.0811496,0.0793167,0.08211,1.80262,1.80264,5.12414
0.050,5.47916,2,40,5.08248,2,20,4.28306,2,16,0,0,0,0.0499998,0.0493,0.0506933,0.0500002,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.0900592,0.0887133,0.0915667,1.80116,1.80118,5.13299
0.055,5.59654,2,42,5.11863,2,19,4.31676,2,17,0,0,0,0.0550015,0.05412,0.0556867,0.0550017,0.0541167,0.0556867,0.0989573,0.0961867,0.101667,0.0989579,0.0961767,0.101667,1.79918,1.79918,5.14447
0.060,5.69028,2,57,5.14762,2,19,4.34397,2,17,0,0,0,0.0599671,0.0591933,0.0606667,0.0599677,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107884,0.106283,0.11005,1.79905,1.79904,5.15023
