Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,8.13992,2,36,8.13468,2,36,7.33288,2,32,0,0,0,0.00499391,0.00471,0.00536,0.00499401,0.00471,0.00536,0.00895208,0.00824333,0.00963,0.00895229,0.00824333,0.00963,1.7926,1.79261,8.32739
0.010,8.15323,2,38,8.14364,2,38,7.30692,2,34,0,0,0,0.0100062,0.00962333,0.01048,0.0100061,0.00962333,0.01048,0.0180378,0.0172933,0.0192367,0.0180376,0.0172933,0.0192367,1.80265,1.80265,8.31019
0.015,8.12551,2,38,8.10935,2,38,7.32121,2,36,0,0,0,0.0150311,0.0145233,0.0156967,0.015031,0.0145233,0.0157,0.02704,0.0259333,0.0284833,0.0270399,0.0259333,0.0284833,1.79893,1.79894,8.26406
0.020,8.12761,2,41,8.10453,2,39,7.31247,2,36,0,0,0,0.020063,0.0194867,0.0205667,0.0200631,0.0194867,0.0205667,0.0360579,0.0347767,0.0372567,0.0360585,0.0347767,0.0372567,1.79723,1.79725,8.24466
0.025,8.125,2,45,8.09434,2,40,7.29792,2,38,0,0,0,0.0250671,0.02449,0.0257333,0.0250669,0.0244867,0.0257367,0.0451318,0.0439833,0.0464533,0.0451318,0.0439833,0.0464567,1.80044,1.80046,8.21651
0.030,8.12425,2,47,8.08619,2,43,7.29229,2,39,0,0,0,0.0300682,0.02949,0.0307167,0.0300681,0.0294933,0.0307133,0.0541228,0.0526633,0.0563,0.0541222,0.0526667,0.0563,1.8,1.79999,8.19358
0.035,8.13505,2,45,8.08833,2,42,7.30056,2,39,0,0,0,0.0350706,0.0342367,0.0362133,0.0350698,0.0342333,0.0362133,0.0631154,0.0612733,0.06533,0.0631141,0.0612733,0.06533,1.79966,1.79967,8.18052
0.040,8.13528,2,61,8.07978,2,45,7.28475,2,41,0,0,0,0.0400941,0.0389867,0.0411167,0.0400937,0.0389867,0.04112,0.072177,0.0700667,0.0745967,0.0721769,0.0700667,0.0746,1.80019,1.8002,8.15568
0.045,8.14638,2,50,8.08019,2,44,7.2924,2,44,0,0,0,0.0450691,0.04441,0.0457233,0.0450684,0.0444167,0.0457233,0.0810798,0.07946,0.0826367,0.0810784,0.0794633,0.0826567,1.79901,1.79901,8.14341
0.050,8.15298,2,66,8.07368,2,44,7.28429,2,42,0,0,0,0.050078,0.04917,0.05091,0.0500778,0.0491633,0.05091,0.090079,0.0880267,0.09225,0.0900782,0.0880333,0.0922467,1.79877,1.79877,8.12163
0.055,8.18012,2,75,8.08729,2,48,7.29503,2,48,0,0,0,0.055088,0.0541533,0.0558567,0.0550874,0.0541533,0.0558533,0.0990448,0.0965533,0.101737,0.0990435,0.0965533,0.101733,1.79794,1.79793,8.11776
0.060,8.18777,2,71,8.0828,2,48,7.29099,2,48,0,0,0,0.0600776,0.0585933,0.0612533,0.0600771,0.0585867,0.0612533,0.108018,0.105313,0.110653,0.108017,0.105293,0.110653,1.79797,1.79798,8.09806
0.065,8.22348,2,70,8.10116,2,52,7.30661,2,52,0,0,0,0.0651088,0.0641933,0.06608,0.0651085,0.0641933,0.0660767,0.117103,0.115033,0.120723,0.117102,0.115033,0.120737,1.79857,1.79857,8.10192
0.070,8.24037,2,85,8.09924,2,58,7.31605,2,58,0,0,0,0.0700993,0.0692433,0.0712167,0.0700993,0.0692467,0.0712133,0.126046,0.123663,0.128517,0.126047,0.123673,0.12853,1.79811,1.79811,8.08194
0.075,8.27869,2,95,8.11025,2,60,7.32765,2,60,0,0,0,0.0750704,0.0737167,0.0760867,0.0750702,0.07372,0.07609,0.134952,0.131797,0.13759,0.134951,0.1318,0.13759,1.79767,1.79767,8.07668
0.080,8.31003,2,97,8.11879,2,62,7.33533,2,62,0,0,0,0.0800622,0.0788433,0.08149,0.0800619,0.0788367,0.08149,0.143966,0.141463,0.14713,0.143965,0.14146,0.14713,1.79817,1.79817,8.06644
0.085,8.34734,2,105,8.13351,2,71,7.34019,2,71,0,0,0,0.0850492,0.0838967,0.0865433,0.0850494,0.0838933,0.0865467,0.152894,0.149913,0.155517,0.152894,0.149897,0.155517,1.79771,1.79771,8.06538
0.090,8.3997,2,105,8.14765,2,70,7.36924,2,66,0,0,0,0.0900403,0.0881367,0.0912167,0.0900398,0.0881367,0.0912167,0.161919,0.158543,0.16451,0.16192,0.158537,0.16451,1.7983,1.79831,8.0585
0.095,8.43131,2,134,8.15152,2,69,7.36826,2,65,0,0,0,0.0950421,0.09396,0.0965867,0.095042,0.0939533,0.0965867,0.170904,0.16843,0.17513,0.170903,0.168437,0.175127,1.79819,1.79819,8.0457
0.100,8.48909,2,160,8.16547,2,69,7.37947,2,65,0,0,0,0.100014,0.0985767,0.101243,0.100013,0.0985833,0.10124,0.179775,0.176603,0.18299,0.179776,0.17661,0.182987,1.7975,1.79752,8.04196
0.105,8.5523,2,164,8.18335,2,75,7.39727,2,72,0,0,0,0.105002,0.103807,0.106227,0.105002,0.10381,0.106237,0.188774,0.18556,0.191903,0.188773,0.185563,0.191893,1.79782,1.79781,8.04104
0.110,8.6418,2,145,8.20556,2,70,7.42663,2,70,0,0,0,0.110025,0.108787,0.111333,0.110025,0.10879,0.11133,0.197877,0.1946,0.20158,0.197878,0.194613,0.201577,1.79847,1.79847,8.03988
0.115,8.70102,2,179,8.2175,2,68,7.43226,2,65,0,0,0,0.115005,0.113727,0.116963,0.115004,0.113727,0.11697,0.206856,0.20342,0.21087,0.206856,0.20342,0.210877,1.79868,1.79868,8.03333
0.120,8.79876,2,190,8.23559,2,74,7.45224,2,73,0,0,0,0.119998,0.118613,0.121213,0.119998,0.118613,0.121213,0.215819,0.211733,0.21892,0.21582,0.211737,0.21892,1.79853,1.79853,8.03179
0.125,8.8964,2,258,8.25245,2,73,7.47098,2,73,0,0,0,0.124993,0.12335,0.12636,0.124993,0.123347,0.12636,0.224817,0.22087,0.228107,0.224817,0.220867,0.22812,1.79863,1.79863,8.02833
0.130,9.0457,2,253,8.28358,2,77,7.50092,2,77,0,0,0,0.129989,0.128747,0.13121,0.129989,0.128747,0.131213,0.233857,0.230573,0.237133,0.233858,0.23057,0.23714,1.79906,1.79907,8.03396
0.135,9.20009,2,288,8.30742,2,75,7.52625,2,75,0,0,0,0.134996,0.133797,0.136793,0.134995,0.133797,0.136793,0.242939,0.23918,0.246713,0.242938,0.23917,0.246713,1.7996,1.7996,8.02967
0.140,9.34851,2,253,8.33208,2,78,7.56144,2,76,0,0,0,0.139994,0.1387,0.142043,0.139994,0.13869,0.142037,0.251935,0.248517,0.255967,0.251935,0.248533,0.255963,1.79962,1.79961,8.03157
0.145,9.56095,2,381,8.35373,2,69,7.56985,2,69,0,0,0,0.14498,0.1435,0.146687,0.144979,0.143503,0.146697,0.260957,0.257767,0.264273,0.260956,0.257777,0.264283,1.79996,1.79995,8.03194
0.150,9.77981,2,522,8.38277,2,75,7.60064,2,72,0,0,0,0.149981,0.14896,0.151417,0.149981,0.148923,0.151417,0.270074,0.265633,0.274083,0.270074,0.265643,0.274073,1.80072,1.80073,8.03593
0.155,10.0173,2,316,8.40958,2,75,7.62253,2,75,0,0,0,0.154962,0.153983,0.15644,0.154963,0.15398,0.15644,0.279055,0.27535,0.282653,0.279056,0.27535,0.282667,1.80079,1.8008,8.03848
0.160,10.3823,2,550,8.43135,2,100,7.64814,2,100,0,0,0,0.159973,0.15789,0.16147,0.159976,0.157887,0.16147,0.288068,0.28388,0.291447,0.28807,0.283873,0.291443,1.80072,1.80071,8.03415
0.165,10.7687,2,605,8.4613,2,75,7.67287,2,75,0,0,0,0.164998,0.16387,0.166513,0.164999,0.163867,0.166507,0.297156,0.29383,0.300683,0.297158,0.293873,0.30069,1.80097,1.80097,8.0387
0.170,11.4185,2,714,8.49747,2,93,7.70949,2,89,0,0,0,0.170008,0.168587,0.171523,0.170009,0.168577,0.171523,0.306168,0.30249,0.30979,0.306173,0.302487,0.30979,1.80091,1.80093,8.04269
0.175,11.9317,2,923,8.52261,2,81,7.74177,2,77,0,0,0,0.175015,0.17378,0.176443,0.175015,0.17378,0.176433,0.315161,0.309647,0.319467,0.31516,0.309683,0.31949,1.80077,1.80076,8.04102
0.180,12.8833,2,1109,8.55293,2,79,7.77569,2,79,0,0,0,0.180034,0.178163,0.18141,0.180036,0.178163,0.181407,0.324183,0.32065,0.327567,0.324185,0.320653,0.327573,1.80068,1.80067,8.04087
0.185,14.2485,2,1459,8.59488,2,86,7.81217,2,86,0,0,0,0.185041,0.1837,0.186537,0.185043,0.1837,0.186573,0.333238,0.329753,0.336673,0.333242,0.329757,0.33669,1.80089,1.8009,8.04822
0.190,15.7068,2,1437,8.61798,2,80,7.8319,2,76,0,0,0,0.190052,0.188987,0.191353,0.190058,0.188983,0.191357,0.342298,0.3384,0.345987,0.342308,0.338397,0.345963,1.80108,1.80108,8.04893
0.195,16.6562,2,1008,8.64218,2,79,7.85541,2,79,0,0,0,0.195077,0.19343,0.196657,0.195083,0.193427,0.196933,0.351373,0.34831,0.3549,0.351382,0.348233,0.3549,1.8012,1.80119,8.04584
0.200,18.7638,2,1527,8.66743,2,107,7.87657,2,103,0,0,0,0.200077,0.198647,0.202083,0.200092,0.198823,0.202083,0.360248,0.356233,0.365297,0.360275,0.35653,0.365297,1.80055,1.80054,8.04516
0.205,22.9548,2,1705,8.71018,2,101,7.92404,2,100,0,0,0,0.205032,0.203875,0.206572,0.205033,0.203875,0.20657,0.36903,0.36641,0.372237,0.369032,0.366422,0.372252,1.79987,1.79987,8.0486
0.210,29.2633,2,2439,8.73951,2,115,7.95006,2,115,0,0,0,0.210005,0.208768,0.21136,0.210009,0.208775,0.211363,0.378131,0.374278,0.3817,0.37814,0.374262,0.381697,1.80058,1.80059,8.0514
0.215,39.8468,2,3274,8.76293,2,107,7.97726,2,103,0,0,0,0.215017,0.213635,0.216603,0.215019,0.213635,0.216668,0.387052,0.38265,0.39107,0.387059,0.382647,0.391977,1.8001,1.80011,8.05009
