Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,9.3712,3,37,9.34802,3,37,8.53879,3,35,0,0,0,0.00499391,0.00471,0.00536,0.00499396,0.00471,0.00536,0.00895208,0.00824333,0.00963,0.00895219,0.00824333,0.00963,1.7926,1.7926,9.53372
0.010,9.43795,3,38,9.38945,3,38,8.57058,3,36,0,0,0,0.0100062,0.00962333,0.01048,0.0100061,0.00962333,0.01048,0.0180378,0.0172933,0.0192367,0.0180376,0.0172933,0.0192367,1.80265,1.80266,9.54187
0.015,9.49481,3,46,9.41421,3,40,8.61963,3,36,0,0,0,0.0150311,0.0145233,0.0156967,0.015031,0.0145233,0.0156967,0.02704,0.0259333,0.0284833,0.0270396,0.0259333,0.02848,1.79893,1.79892,9.54577
0.020,9.53254,3,45,9.42067,3,42,8.6277,3,39,0,0,0,0.020063,0.0194867,0.0205667,0.0200628,0.0194867,0.0205667,0.0360579,0.0347767,0.0372567,0.036058,0.0347767,0.0372567,1.79723,1.79726,9.53061
0.025,9.59392,3,50,9.44493,3,41,8.64587,3,39,0,0,0,0.0250671,0.02449,0.0257333,0.0250668,0.0244867,0.0257367,0.0451318,0.0439833,0.0464533,0.0451316,0.0439833,0.0464567,1.80044,1.80045,9.52637
0.030,9.67652,3,57,9.4813,3,43,8.69421,3,39,0,0,0,0.0300682,0.02949,0.0307167,0.0300678,0.02949,0.0307067,0.0541228,0.0526633,0.0563,0.0541217,0.0526633,0.0563,1.8,1.79999,9.53872
0.035,9.73237,3,51,9.48871,3,41,8.69566,3,39,0,0,0,0.0350706,0.0342367,0.0362133,0.0350698,0.0342333,0.0362133,0.0631154,0.0612733,0.06533,0.0631145,0.0612733,0.0653267,1.79966,1.79968,9.5179
0.040,9.81086,3,58,9.51302,3,50,8.70745,3,50,0,0,0,0.0400941,0.0389867,0.0411167,0.0400938,0.0389867,0.04112,0.072177,0.0700667,0.0745967,0.0721764,0.0700667,0.0746,1.80019,1.80019,9.51354
0.045,9.91086,3,86,9.54769,3,60,8.74928,3,60,0,0,0,0.0450691,0.04441,0.0457233,0.0450685,0.0444167,0.0457233,0.0810798,0.07946,0.0826367,0.0810782,0.0794633,0.08265,1.79901,1.799,9.52117
0.050,10.0064,3,81,9.57423,3,56,8.77429,3,56,0,0,0,0.050078,0.04917,0.05091,0.0500775,0.04916,0.05091,0.090079,0.0880267,0.09225,0.0900776,0.0880333,0.0922467,1.79877,1.79876,9.52123
