Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,12.8935,3,67,12.8934,3,67,12.1116,3,67,0,0,0,0.00498801,0.00456667,0.00533667,0.00498804,0,0.0202767,0.00897075,0.00800667,0.0100833,0.00897075,0,0.0367167,1.79846,1.79845,13.0836
0.010,13.0453,3,89,13.0448,3,89,12.2451,3,85,0,0,0,0.00999117,0.00926,0.01046,0.00999129,0,0.0402933,0.0179902,0.01678,0.0190167,0.0179906,0,0.0732267,1.80061,1.80063,13.2212
0.015,13.1875,3,89,13.1864,3,89,12.3898,3,89,0,0,0,0.0149924,0.0144367,0.0155767,0.0149924,0,0.0603767,0.0269573,0.0255333,0.0282733,0.026957,0,0.107977,1.79806,1.79804,13.3525
0.020,13.3477,3,89,13.3454,3,89,12.5387,3,89,0,0,0,0.0199947,0.01923,0.0207433,0.0199947,0,0.0806533,0.0359569,0.0342967,0.0380367,0.0359567,0,0.145733,1.79832,1.79831,13.498
0.025,13.5331,3,96,13.5287,3,96,12.7238,3,94,0,0,0,0.0250009,0.02405,0.0257167,0.025001,0,0.100437,0.0449455,0.04299,0.04653,0.0449457,0,0.18077,1.79776,1.79776,13.6681
0.030,13.7196,3,104,13.7124,3,104,12.8984,3,104,0,0,0,0.0300008,0.0289933,0.0308933,0.0300009,0,0.121307,0.053947,0.05228,0.0560267,0.0539471,0,0.217373,1.79818,1.79819,13.8352
0.035,13.92,3,123,13.9081,3,123,13.0901,3,119,0,0,0,0.0349991,0.0342433,0.0360667,0.0349992,0,0.14079,0.0629309,0.06123,0.0651233,0.0629307,0,0.253203,1.79807,1.79806,14.013
0.040,14.1467,3,123,14.1282,3,123,13.3076,3,123,0,0,0,0.0400111,0.03899,0.0408333,0.0400113,0,0.160757,0.0719604,0.0695,0.0742433,0.0719609,0,0.289663,1.79851,1.79852,14.213
0.045,14.3882,3,130,14.3599,3,130,13.528,3,130,0,0,0,0.0449922,0.0439033,0.0462967,0.0449923,0,0.180417,0.080969,0.0785167,0.0829133,0.080969,0,0.325833,1.79962,1.79962,14.421
0.050,14.645,3,136,14.6023,3,136,13.7629,3,136,0,0,0,0.0499921,0.0489467,0.0512467,0.0499923,0,0.2012,0.0900255,0.0872333,0.0931133,0.0900255,0,0.36536,1.80079,1.80079,14.6368
0.055,14.9263,3,146,14.86,3,145,14.0191,3,141,0,0,0,0.0549907,0.05383,0.0560467,0.054991,0,0.22097,0.0990364,0.0950567,0.101633,0.0990367,0,0.398097,1.80096,1.80096,14.8663
0.060,15.2463,3,199,15.1411,3,148,14.2961,3,148,0,0,0,0.0600051,0.0587033,0.06148,0.0600056,0,0.241153,0.108055,0.10485,0.110827,0.108056,0,0.435487,1.80076,1.80077,15.1105
0.065,15.5905,3,324,15.4206,3,156,14.5696,3,156,0,0,0,0.0650128,0.0635367,0.06645,0.065013,0,0.26029,0.117063,0.114407,0.119997,0.117064,0,0.469167,1.80062,1.80062,15.3519
0.070,16.1219,3,600,15.7552,3,145,14.9027,3,141,0,0,0,0.0700194,0.0682167,0.0713833,0.0700198,0,0.28137,0.126047,0.12223,0.13002,0.126046,0,0.507413,1.80017,1.80015,15.6294
0.075,17.1172,3,940,16.1092,3,160,15.2576,3,156,0,0,0,0.0750226,0.0737967,0.0764867,0.0750223,0,0.300907,0.135018,0.131783,0.138207,0.135017,0,0.543067,1.7997,1.7997,15.9152
0.080,94.1119,3,21479,16.4584,3,182,15.6041,3,182,0,0,0,0.0800045,0.0791229,0.0809286,0.0800104,0,0.321226,0.144033,0.141921,0.145691,0.144043,0,0.577809,1.80031,1.80031,16.1975
0.085,5252.61,3,1.23201e+06,16.7136,3,195,15.8538,3,195,0,0,0,0.0850051,0.0840043,0.0861357,0.0846576,0,0.34105,0.153017,0.150893,0.155273,0.152395,0,0.612999,1.80009,1.80013,16.4294
