Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,4.81171,2,14,4.81166,2,14,4.01902,2,10,0,0,0,0.00503313,0.00481,0.00530333,0.00503292,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901458,0.00842333,0.00938667,1.79109,1.79113,5.01176
0.010,4.82856,2,14,4.82829,2,14,4.02414,2,10,0,0,0,0.0100071,0.00965667,0.0101967,0.0100069,0.00965667,0.0101967,0.0181071,0.0176567,0.0190767,0.0181075,0.0176567,0.0190767,1.80943,1.80951,5.00187
0.015,4.83133,2,16,4.83082,2,14,4.04362,2,11,0,0,0,0.0149985,0.0147133,0.0155233,0.0149981,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.026939,0.0256067,0.0280867,1.79613,1.79616,5.01114
0.020,4.83556,2,15,4.83454,2,14,4.04619,2,13,0,0,0,0.019986,0.01961,0.02052,0.0199858,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358333,0.03493,0.0368367,1.79293,1.79294,5.00744
0.025,4.83992,2,17,4.8382,2,17,4.04214,2,13,0,0,0,0.0249837,0.0244333,0.0254267,0.024984,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448046,0.0432067,0.0459833,1.7933,1.79333,5.00347
0.030,4.85336,2,25,4.85061,2,15,4.05353,2,14,0,0,0,0.0300242,0.0295467,0.03048,0.0300242,0.0295433,0.0304767,0.0540175,0.05332,0.0554333,0.0540175,0.0533167,0.0554333,1.79913,1.79913,5.00198
0.035,4.87058,2,25,4.86615,2,16,4.06056,2,14,0,0,0,0.0350258,0.03456,0.0356267,0.0350256,0.03456,0.0356267,0.0631567,0.0616533,0.06481,0.0631565,0.0616533,0.0648067,1.80315,1.80315,5.0041
0.040,4.87955,2,20,4.87389,2,18,4.06988,2,14,0,0,0,0.0400277,0.03946,0.04073,0.0400275,0.03946,0.0407267,0.0721635,0.0709767,0.07374,0.0721635,0.07098,0.0737367,1.80284,1.80285,5.00455
0.045,4.886,2,22,4.87876,2,18,4.07413,2,14,0,0,0,0.0450169,0.0439567,0.0456967,0.0450171,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.0811496,0.0793167,0.08211,1.80262,1.80264,4.99991
0.050,4.89154,2,28,4.88267,2,18,4.0845,2,14,0,0,0,0.0499998,0.0493,0.0506933,0.0500002,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.0900592,0.0887133,0.0915667,1.80116,1.80118,4.99962
0.055,4.90624,2,22,4.89393,2,18,4.09201,2,14,0,0,0,0.0550015,0.05412,0.0556867,0.0550015,0.0541167,0.0556833,0.0989573,0.0961867,0.101667,0.0989577,0.0961767,0.101667,1.79918,1.79918,5.0032
0.060,4.91298,2,24,4.8997,2,18,4.10009,2,14,0,0,0,0.0599671,0.0591933,0.0606667,0.0599673,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107884,0.106283,0.110047,1.79905,1.79905,5.00152
0.065,4.9271,2,25,4.90926,2,18,4.1165,2,14,0,0,0,0.0650215,0.0644433,0.06613,0.0650215,0.06444,0.0661367,0.116787,0.114973,0.119243,0.116787,0.114973,0.119243,1.79613,1.79613,5.00535
0.070,4.9407,2,23,4.91912,2,18,4.12175,2,15,0,0,0,0.0699785,0.0688767,0.0706767,0.0699785,0.0688767,0.0706767,0.125762,0.123223,0.12785,0.125762,0.123223,0.127847,1.79715,1.79715,5.00801
0.075,4.95332,2,28,4.92623,2,18,4.12419,2,14,0,0,0,0.0749754,0.0739667,0.0760933,0.0749758,0.0739633,0.0760933,0.134679,0.132943,0.137253,0.134679,0.132947,0.137253,1.79631,1.79629,5.00582
0.080,4.9622,2,36,4.93048,2,18,4.13363,2,14,0,0,0,0.0799906,0.0789433,0.0806033,0.0799912,0.07894,0.08061,0.143754,0.1418,0.145303,0.143756,0.141793,0.145303,1.79713,1.79714,5.00189
0.085,4.98474,2,29,4.94654,2,17,4.14958,2,14,0,0,0,0.0850135,0.0841767,0.08594,0.0850131,0.0841767,0.0859433,0.152908,0.15066,0.154753,0.152905,0.150663,0.154753,1.79864,1.79861,5.00847
0.090,5.00412,2,58,4.95735,2,18,4.15284,2,14,0,0,0,0.0900248,0.0892033,0.09142,0.0900263,0.0892067,0.0914233,0.16201,0.159603,0.16706,0.162012,0.159617,0.167063,1.79961,1.7996,5.00892
0.095,5.02226,2,35,4.96773,2,18,4.17129,2,16,0,0,0,0.0950098,0.0942767,0.09608,0.0950104,0.0942767,0.0960767,0.170997,0.16884,0.173027,0.170999,0.16884,0.17303,1.79979,1.79979,5.01099
0.100,5.03885,2,53,4.97388,2,18,4.17288,2,14,0,0,0,0.100001,0.0992933,0.10096,0.100001,0.0992867,0.10096,0.180058,0.177937,0.182947,0.180059,0.177937,0.182947,1.80056,1.80057,5.00934
0.105,5.06085,2,42,4.98917,2,18,4.18681,2,18,0,0,0,0.105056,0.104367,0.105867,0.105056,0.10436,0.10587,0.189182,0.1872,0.191547,0.189184,0.187197,0.19155,1.80077,1.80078,5.01164
0.110,5.0844,2,43,5.0008,2,18,4.20278,2,18,0,0,0,0.110075,0.108663,0.11093,0.110075,0.108663,0.11093,0.198212,0.19493,0.200707,0.198212,0.19493,0.200707,1.80071,1.8007,5.01515
0.115,5.10924,2,46,5.01009,2,18,4.2068,2,18,0,0,0,0.115057,0.113993,0.11592,0.115057,0.113997,0.115923,0.207168,0.20457,0.210507,0.207167,0.204577,0.21051,1.80056,1.80055,5.0155
0.120,5.12815,2,50,5.02007,2,20,4.22023,2,18,0,0,0,0.120091,0.11929,0.121323,0.120091,0.119293,0.12132,0.216163,0.21313,0.21876,0.216166,0.213143,0.21876,1.8,1.80002,5.0164
0.125,5.16115,2,47,5.03023,2,18,4.23125,2,14,0,0,0,0.125085,0.12432,0.126297,0.125086,0.124333,0.1263,0.22529,0.223193,0.229163,0.225291,0.223183,0.229167,1.80109,1.80109,5.01729
0.130,5.18774,2,46,5.03956,2,21,4.23826,2,21,0,0,0,0.130036,0.12924,0.131267,0.130036,0.129237,0.131267,0.23412,0.231557,0.23707,0.234121,0.231557,0.23708,1.80043,1.80044,5.01674
0.135,5.21952,2,60,5.05376,2,20,4.25347,2,16,0,0,0,0.135046,0.134093,0.136103,0.135047,0.134083,0.136107,0.243109,0.241307,0.245997,0.243109,0.24131,0.246,1.80019,1.80018,5.02167
0.140,5.25133,2,51,5.06475,2,20,4.26505,2,16,0,0,0,0.140089,0.13944,0.141097,0.140087,0.139437,0.1411,0.252135,0.24934,0.25455,0.25213,0.24934,0.254553,1.79982,1.79981,5.02217
0.145,5.30115,2,57,5.08075,2,20,4.2799,2,20,0,0,0,0.145101,0.143857,0.14625,0.145101,0.143857,0.146247,0.261322,0.259377,0.263003,0.261322,0.25938,0.263,1.80097,1.80097,5.02493
0.150,5.33275,2,58,5.08782,2,22,4.28398,2,22,0,0,0,0.150073,0.148857,0.15121,0.150072,0.14886,0.151207,0.270177,0.26602,0.273463,0.270175,0.26603,0.273453,1.80031,1.8003,5.02585
0.155,5.37219,2,57,5.09921,2,20,4.30047,2,19,0,0,0,0.155095,0.153963,0.155983,0.155095,0.153963,0.155983,0.279321,0.275037,0.28224,0.279322,0.275043,0.28224,1.80096,1.80097,5.02537
0.160,5.43035,2,73,5.11303,2,22,4.31599,2,18,0,0,0,0.160132,0.159087,0.161083,0.16013,0.1591,0.161083,0.288289,0.285193,0.291183,0.288286,0.28522,0.291183,1.80032,1.80033,5.02867
0.165,5.48324,2,87,5.12985,2,22,4.32847,2,18,0,0,0,0.165183,0.164203,0.166453,0.165183,0.164197,0.166453,0.297368,0.293813,0.300543,0.297368,0.293813,0.30056,1.80023,1.80023,5.03212
0.170,5.5403,2,77,5.14254,2,20,4.34195,2,19,0,0,0,0.170181,0.169017,0.171337,0.170179,0.169013,0.171333,0.306336,0.302677,0.31067,0.306335,0.302687,0.31069,1.80006,1.80007,5.03349
