Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,4.27505,1,19,4.27505,1,19,3.48776,1,16,0,0,0,0.00503313,0.00481,0.00530333,0.00503313,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901479,0.00842333,0.00938667,1.79109,1.79109,4.48206
0.010,4.31565,1,20,4.31565,1,20,3.51963,1,16,0,0,0,0.0100071,0.00965667,0.0101967,0.0100073,0.00965667,0.0102,0.0181071,0.0176567,0.0190767,0.0181077,0.0176567,0.01908,1.80943,1.80945,4.50252
0.015,4.31299,1,20,4.31296,1,20,3.53454,1,16,0,0,0,0.0149985,0.0147133,0.0155233,0.0149987,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.0269396,0.0256067,0.0280867,1.79613,1.79612,4.51037
0.020,4.29968,1,20,4.29963,1,20,3.51463,1,19,0,0,0,0.019986,0.01961,0.02052,0.019986,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358333,0.03493,0.0368367,1.79293,1.79292,4.49894
0.025,4.30991,1,20,4.3097,1,20,3.51973,1,18,0,0,0,0.0249837,0.0244333,0.0254267,0.0249844,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448048,0.0432067,0.0459833,1.7933,1.79331,4.50629
0.030,4.31818,1,21,4.31791,1,21,3.50637,1,20,0,0,0,0.0300242,0.0295467,0.03048,0.0300246,0.0295467,0.0304767,0.0540175,0.05332,0.0554333,0.0540179,0.05332,0.0554333,1.79913,1.79912,4.50676
0.035,4.31417,1,32,4.31352,1,21,3.51127,1,20,0,0,0,0.0350258,0.03456,0.0356267,0.0350263,0.03456,0.0356267,0.0631567,0.0616533,0.06481,0.0631571,0.0616533,0.0648067,1.80315,1.80314,4.49473
0.040,4.3154,1,27,4.31451,1,23,3.50929,1,20,0,0,0,0.0400277,0.03946,0.04073,0.0400275,0.0394567,0.0407267,0.0721635,0.0709767,0.07374,0.072164,0.07098,0.0737367,1.80284,1.80286,4.49478
0.045,4.32647,1,32,4.32529,1,21,3.50577,1,20,0,0,0,0.0450169,0.0439567,0.0456967,0.0450173,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.0811498,0.0793167,0.08211,1.80262,1.80264,4.50367
0.050,4.32287,1,31,4.32086,1,23,3.52396,1,20,0,0,0,0.0499998,0.0493,0.0506933,0.0500002,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.090059,0.0887133,0.0915667,1.80116,1.80117,4.49655
0.055,4.32308,1,36,4.32126,1,21,3.52866,1,20,0,0,0,0.0550015,0.05412,0.0556867,0.0550017,0.0541167,0.0556833,0.0989573,0.0961867,0.101667,0.0989565,0.0961767,0.101667,1.79918,1.79915,4.4978
0.060,4.32528,1,32,4.32254,1,24,3.52637,1,20,0,0,0,0.0599671,0.0591933,0.0606667,0.0599669,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107883,0.106283,0.110047,1.79905,1.79905,4.49725
0.065,4.32338,1,32,4.32032,1,24,3.52441,1,20,0,0,0,0.0650215,0.0644433,0.06613,0.0650215,0.06444,0.0661367,0.116787,0.114973,0.119243,0.116787,0.114973,0.119243,1.79613,1.79613,4.49463
0.070,4.32336,1,34,4.31925,1,24,3.52212,1,24,0,0,0,0.0699785,0.0688767,0.0706767,0.0699788,0.0688767,0.0706767,0.125762,0.123223,0.12785,0.125762,0.123223,0.12785,1.79715,1.79714,4.48953
