Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,6.55334,1,41,6.55334,1,41,5.75963,1,37,0,0,0,0.00499391,0.00471,0.00536,0.00499396,0,0.0405033,0.00895208,0.00824333,0.00963,0.00895198,0,0.07301,1.7926,1.79256,6.75729
0.010,6.65885,1,44,6.65868,1,44,5.85159,1,41,0,0,0,0.0100062,0.00962333,0.01048,0.0100062,0,0.0807033,0.0180378,0.0172933,0.0192367,0.0180377,0,0.14581,1.80265,1.80265,6.84989
0.015,6.75113,1,64,6.7508,1,64,5.95595,1,60,0,0,0,0.0150311,0.0145233,0.0156967,0.015031,0,0.12143,0.02704,0.0259333,0.0284833,0.02704,0,0.219003,1.79893,1.79894,6.94158
0.020,6.8788,1,74,6.8782,1,74,6.07583,1,74,0,0,0,0.020063,0.0194867,0.0205667,0.020063,0,0.162193,0.0360579,0.0347767,0.0372567,0.0360581,0,0.29118,1.79723,1.79724,7.06689
0.025,7.06476,1,66,7.06376,1,66,6.26354,1,66,0,0,0,0.0250671,0.02449,0.0257333,0.0250667,0,0.20188,0.0451318,0.0439833,0.0464533,0.045131,0,0.364077,1.80044,1.80044,7.24507
0.030,7.25901,1,73,7.25798,1,73,6.45053,1,73,0,0,0,0.0300682,0.02949,0.0307167,0.0300679,0,0.242557,0.0541228,0.0526633,0.0563,0.0541223,0,0.43723,1.8,1.8,7.43611
0.035,7.48616,1,83,7.48448,1,83,6.68298,1,83,0,0,0,0.0350706,0.0342367,0.0362133,0.0350699,0,0.281993,0.0631154,0.0612733,0.06533,0.0631141,0,0.5094,1.79966,1.79966,7.65866
0.040,7.77097,1,88,7.76833,1,88,6.96561,1,84,0,0,0,0.0400941,0.0389867,0.0411167,0.0400934,0,0.32267,0.072177,0.0700667,0.0745967,0.0721767,0,0.582797,1.80019,1.80021,7.93628
0.045,8.07692,1,101,8.07319,1,101,7.2724,1,97,0,0,0,0.0450691,0.04441,0.0457233,0.0450684,0,0.362447,0.0810798,0.07946,0.0826367,0.0810782,0,0.653767,1.79901,1.799,8.2358
0.050,8.42576,1,106,8.42076,1,106,7.62161,1,102,0,0,0,0.050078,0.04917,0.05091,0.0500771,0,0.4025,0.090079,0.0880267,0.09225,0.0900779,0,0.726197,1.79877,1.79878,8.57795
0.055,8.8158,1,116,8.80909,1,116,7.99327,1,116,0,0,0,0.055088,0.0541533,0.0558567,0.0550866,0,0.443123,0.0990448,0.0965533,0.101737,0.0990414,0,0.797197,1.79794,1.79792,8.95928
0.060,9.25573,1,122,9.24692,1,122,8.44123,1,118,0,0,0,0.0600776,0.0585933,0.0612533,0.0600762,0,0.483317,0.108018,0.105313,0.110653,0.108015,0,0.869483,1.79797,1.79796,9.3896
0.065,9.80172,1,113,9.79033,1,113,8.97964,1,113,0,0,0,0.0651088,0.0641933,0.06608,0.0651117,0,0.523467,0.117103,0.115033,0.120723,0.117107,0,0.940047,1.79857,1.79855,9.922
0.070,10.3352,1,130,10.3201,1,130,9.50848,1,126,0,0,0,0.0700993,0.0692433,0.0712167,0.0695095,0,0.557467,0.126046,0.123663,0.128517,0.125,0,1,1.79811,1.79832,10.4422
0.075,11.0082,1,141,10.9887,1,141,10.176,1,137,0,0,0,0.0750704,0.0737167,0.0760867,0.0695121,0,0.5574,0.134952,0.131797,0.13759,0.125,0,1,1.79767,1.79825,11.0982
0.080,11.7269,1,143,11.7013,1,143,10.8858,1,143,0,0,0,0.0800622,0.0788433,0.08149,0.0695126,0,0.55739,0.143966,0.141463,0.14713,0.125,0,1,1.79817,1.79824,11.7962
0.085,12.5671,1,144,12.5335,1,144,11.7483,1,143,0,0,0,0.0850492,0.0838967,0.0865433,0.0695128,0,0.557393,0.152894,0.149913,0.155517,0.125,0,1,1.79771,1.79823,12.6112
0.090,13.5656,1,157,13.5206,1,157,12.7222,1,154,0,0,0,0.0900403,0.0881367,0.0912167,0.0695126,0,0.55739,0.161919,0.158543,0.16451,0.125,0,1,1.7983,1.79824,13.5776
0.095,14.714,1,151,14.6543,1,151,13.8613,1,156,0,0,0,0.0950421,0.09396,0.0965867,0.069511,0,0.557377,0.170904,0.16843,0.17513,0.125,0,1,1.79819,1.79828,14.6866
0.100,16.0471,1,201,15.9671,1,201,15.1818,1,201,0,0,0,0.100014,0.0985767,0.101243,0.0695126,0,0.557383,0.179775,0.176603,0.18299,0.125,0,1,1.7975,1.79824,15.9695
0.105,17.6436,1,175,17.5308,1,175,16.7569,1,185,0,0,0,0.105002,0.103807,0.106227,0.0695118,0,0.557393,0.188774,0.18556,0.191903,0.125,0,1,1.79782,1.79826,17.4922
0.110,19.6743,1,181,19.5095,1,181,18.7066,1,209,0,0,0,0.110025,0.108787,0.111333,0.0695125,0,0.5574,0.197877,0.1946,0.20158,0.125,0,1,1.79847,1.79824,19.4145
0.115,22.1488,1,204,21.8968,1,204,21.1139,1,227,0,0,0,0.115005,0.113727,0.116963,0.0695129,0,0.557413,0.206856,0.20342,0.21087,0.125,0,1,1.79868,1.79823,21.7266
0.120,25.5614,1,190,25.1229,1,190,24.3182,1,220,0,0,0,0.119998,0.118613,0.121213,0.0695119,0,0.557397,0.215819,0.211733,0.21892,0.125,0,1,1.79853,1.79825,24.832
0.125,30.695,1,455,29.6756,1,214,28.7997,1,247,0,0,0,0.124993,0.12335,0.12636,0.0695124,0,0.55741,0.224817,0.22087,0.228107,0.125,0,1,1.79863,1.79824,29.1591
0.130,42.3059,1,1666,37.3131,1,240,36.2726,1,294,0,0,0,0.129989,0.128747,0.13121,0.0695127,0,0.557387,0.233857,0.230573,0.237133,0.125,0,1,1.79906,1.79823,36.2439
0.135,1963.42,1,95302,51.9533,1,405,50.728,1,405,0,0,0,0.134996,0.133797,0.136793,0.0695135,0,0.557217,0.242939,0.23918,0.246713,0.125,0,1,1.7996,1.79821,49.1527
