Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,8.65466,3,36,8.65465,3,36,7.84683,3,33,0,0,0,0.00499391,0.00471,0.00536,0.00499401,0.00471,0.00536,0.00895208,0.00824333,0.00963,0.00895229,0.00824333,0.00963,1.7926,1.79261,8.85072
0.010,8.71571,3,37,8.71544,3,36,7.89043,3,32,0,0,0,0.0100062,0.00962333,0.01048,0.0100061,0.00962333,0.01048,0.0180378,0.0172933,0.0192367,0.0180376,0.0172933,0.0192367,1.80265,1.80266,8.88773
0.015,8.73075,3,39,8.72975,3,39,7.93639,3,35,0,0,0,0.0150311,0.0145233,0.0156967,0.015031,0.0145233,0.0156967,0.02704,0.0259333,0.0284833,0.0270398,0.0259333,0.02848,1.79893,1.79893,8.89413
0.020,8.74198,3,41,8.74051,3,39,7.94135,3,36,0,0,0,0.020063,0.0194867,0.0205667,0.0200627,0.0194867,0.0205667,0.0360579,0.0347767,0.0372567,0.0360581,0.0347767,0.0372567,1.79723,1.79727,8.89213
0.025,8.7649,3,41,8.76246,3,39,7.96393,3,36,0,0,0,0.0250671,0.02449,0.0257333,0.025067,0.0244867,0.0257367,0.0451318,0.0439833,0.0464533,0.0451318,0.0439833,0.0464567,1.80044,1.80045,8.89975
0.030,8.78489,3,47,8.78082,3,40,7.99211,3,36,0,0,0,0.0300682,0.02949,0.0307167,0.0300679,0.02949,0.0307067,0.0541228,0.0526633,0.0563,0.054122,0.0526633,0.0563,1.8,1.8,8.90539
0.035,8.78039,3,46,8.77425,3,41,7.97859,3,37,0,0,0,0.0350706,0.0342367,0.0362133,0.0350698,0.0342333,0.0362133,0.0631154,0.0612733,0.06533,0.0631144,0.0612733,0.06533,1.79966,1.79968,8.88889
0.040,8.79698,3,65,8.78918,3,40,7.98849,3,39,0,0,0,0.0400941,0.0389867,0.0411167,0.0400939,0.0389867,0.04112,0.072177,0.0700667,0.0745967,0.0721767,0.0700667,0.0746,1.80019,1.80019,8.8904
0.045,8.81268,3,46,8.80241,3,44,7.99925,3,40,0,0,0,0.0450691,0.04441,0.0457233,0.0450683,0.0444167,0.0457233,0.0810798,0.07946,0.0826367,0.0810782,0.0794633,0.08265,1.79901,1.79901,8.89106
0.050,8.82186,3,60,8.80865,3,60,8.01559,3,60,0,0,0,0.050078,0.04917,0.05091,0.0500778,0.04916,0.05091,0.090079,0.0880267,0.09225,0.0900783,0.0880333,0.0922467,1.79877,1.79877,8.88679
0.055,8.83769,3,61,8.82032,3,60,8.01808,3,60,0,0,0,0.055088,0.0541533,0.0558567,0.0550871,0.05415,0.0558533,0.0990448,0.0965533,0.101737,0.0990432,0.09655,0.101733,1.79794,1.79794,8.88837
