Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,12.834,3,35,12.8056,3,33,12.0177,3,31,0,0,0,0.00499033,0.00471667,0.00534333,0.00499043,0,0.01027,0.0089878,0.00840667,0.00970333,0.00898803,0,0.01902,1.80104,1.80105,12.9886
0.010,12.8906,3,38,12.8264,3,35,12.0295,3,31,0,0,0,0.00998667,0.00936667,0.0104867,0.00998663,0,0.02062,0.0179423,0.01658,0.0193267,0.0179422,0,0.0373267,1.79662,1.79662,12.9962
0.015,12.9716,3,49,12.8682,3,37,12.0685,3,37,0,0,0,0.0149928,0.0145567,0.0154833,0.0149925,0,0.03067,0.026992,0.0261067,0.0279833,0.0269914,0,0.0556833,1.80033,1.80032,13.0136
0.020,13.0391,3,55,12.888,3,41,12.0798,3,37,0,0,0,0.0200148,0.0193933,0.0204933,0.0200149,0,0.04071,0.0360539,0.0345267,0.0374667,0.0360543,0,0.0735067,1.80136,1.80137,13.012
0.025,13.1237,3,77,12.9132,3,49,12.1081,3,49,0,0,0,0.0250124,0.0244033,0.0257733,0.0250124,0,0.0510867,0.0450406,0.0430667,0.0476533,0.0450407,0,0.0923267,1.80073,1.80073,13.0147
0.030,13.2244,3,91,12.9424,3,45,12.1469,3,45,0,0,0,0.0299992,0.0292567,0.0307333,0.0299992,0,0.06105,0.0539514,0.05259,0.0555367,0.0539503,0,0.109753,1.79843,1.79839,13.0216
0.035,13.352,3,107,12.9786,3,45,12.1747,3,45,0,0,0,0.0350134,0.0342567,0.0357733,0.0350138,0,0.07114,0.0629563,0.06123,0.0649167,0.0629566,0,0.12894,1.79806,1.79805,13.0304
0.040,13.5113,3,146,13.0071,3,50,12.2081,3,50,0,0,0,0.0400115,0.03908,0.0410533,0.040011,0,0.0812467,0.0719575,0.0699133,0.0735333,0.0719574,0,0.145897,1.79842,1.79844,13.0267
0.045,13.7304,3,249,13.0585,3,55,12.2606,3,51,0,0,0,0.0450037,0.04406,0.0459233,0.0450041,0,0.09112,0.080922,0.0782933,0.08343,0.0809226,0,0.165213,1.79812,1.79812,13.038
0.050,14.0722,3,343,13.1135,3,58,12.3164,3,58,0,0,0,0.049987,0.0487667,0.0509033,0.0499869,0,0.101083,0.0898885,0.0877267,0.0924967,0.0898884,0,0.18272,1.79824,1.79824,13.0458
0.055,14.6449,3,619,13.1748,3,51,12.3768,3,48,0,0,0,0.0549903,0.0539767,0.0560667,0.054991,0,0.111263,0.0988774,0.0963133,0.101183,0.0988797,0,0.200137,1.79809,1.79811,13.0466
0.060,16.6034,3,1613,13.2585,3,61,12.462,3,61,0,0,0,0.059997,0.0590567,0.0614033,0.0599974,0,0.121897,0.107866,0.105413,0.11097,0.107867,0,0.22127,1.79786,1.79785,13.0494
0.065,821.146,3,130554,13.3799,3,71,12.5786,3,71,0,0,0,0.065031,0.0643743,0.06576,0.0649489,0,0.130817,0.117063,0.114977,0.11904,0.116914,0,0.235546,1.8001,1.8001,13.0564
