Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,13.7221,1,75,13.7076,1,75,12.8991,1,72,0,0,0,0.00499866,0.00456,0.00529667,0.00499861,0,0.0609267,0.00901014,0.00818667,0.00976667,0.00900965,0,0.109727,1.80251,1.80243,13.8967
0.010,13.9244,1,105,13.8947,1,105,13.0947,1,101,0,0,0,0.0100135,0.00957667,0.0104767,0.0100137,0,0.12146,0.0180194,0.0167133,0.0191667,0.01802,0,0.21906,1.79951,1.79953,14.0772
0.015,14.2438,1,107,14.1966,1,107,13.3875,1,107,0,0,0,0.0150321,0.0144467,0.0157333,0.0150323,0,0.181813,0.0270613,0.02574,0.02888,0.0270615,0,0.328493,1.80023,1.80022,14.3679
0.020,14.6423,1,123,14.5764,1,123,13.7687,1,123,0,0,0,0.0200388,0.01896,0.02063,0.0200388,0,0.243067,0.0360503,0.03408,0.03753,0.0360506,0,0.43632,1.79903,1.79904,14.7382
0.025,15.1423,1,138,15.0522,1,138,14.2223,1,138,0,0,0,0.0250457,0.02427,0.0259,0.0250458,0,0.302663,0.0450287,0.0431233,0.04726,0.0450281,0,0.545157,1.79786,1.79783,15.2026
0.030,15.7645,1,142,15.6461,1,141,14.8673,1,141,0,0,0,0.0300466,0.0291633,0.0308833,0.0300467,0,0.362313,0.0540337,0.0523433,0.05599,0.0540345,0,0.651863,1.79833,1.79835,15.7822
0.035,16.5168,1,196,16.3665,1,195,15.576,1,195,0,0,0,0.0350705,0.0341,0.0359567,0.0350701,0,0.423093,0.0630685,0.0610333,0.0652,0.0630679,0,0.761673,1.79833,1.79834,16.4871
0.040,17.4184,1,239,17.2266,1,239,16.4236,1,235,0,0,0,0.0400701,0.0391767,0.0412133,0.0400706,0,0.48362,0.0720535,0.07,0.07444,0.0720547,0,0.86975,1.79818,1.79819,17.3285
0.045,18.4807,1,188,18.2364,1,188,17.4425,1,184,0,0,0,0.045052,0.04408,0.0459767,0.0450477,0,0.54259,0.0809881,0.07868,0.0831867,0.0809797,0,0.977217,1.79766,1.79764,18.3168
0.050,19.7735,1,200,19.4632,1,199,18.6479,1,199,0,0,0,0.0500313,0.04901,0.0508733,0.0463507,0,0.558253,0.08998,0.0875233,0.0921367,0.0833333,0,1,1.79847,1.79789,19.5145
0.055,21.3033,1,196,20.9019,1,196,20.1034,1,196,0,0,0,0.0550172,0.0536967,0.0561433,0.0463502,0,0.55826,0.0989539,0.09659,0.10164,0.0833333,0,1,1.7986,1.79791,20.9208
0.060,23.2588,1,230,22.7264,1,230,21.9203,1,226,0,0,0,0.0600335,0.05899,0.0610867,0.0463501,0,0.558267,0.108034,0.105183,0.111413,0.0833333,0,1,1.79956,1.79791,22.6977
0.065,25.6396,1,235,24.9259,1,235,24.1047,1,263,0,0,0,0.0650391,0.06378,0.0665867,0.04635,0,0.558257,0.117071,0.114347,0.12029,0.0833333,0,1,1.8,1.79791,24.8399
0.070,28.849,1,271,27.8099,1,271,26.9267,1,271,0,0,0,0.0700516,0.0683867,0.0712833,0.04635,0,0.558253,0.126149,0.12274,0.128863,0.0833333,0,1,1.8008,1.79792,27.6349
0.075,33.3,1,309,31.648,1,308,30.7386,1,304,0,0,0,0.0750506,0.0737533,0.07642,0.0463507,0,0.55826,0.135162,0.1309,0.138273,0.0833333,0,1,1.80094,1.79789,31.3368
0.080,40.4332,1,473,37.1291,1,374,36.1879,1,374,0,0,0,0.080056,0.07884,0.0811733,0.046351,0,0.558277,0.144157,0.141343,0.147373,0.0833333,0,1,1.8007,1.79788,36.5618
0.085,66.3791,1,2814,46.6265,1,361,45.4048,1,365,0,0,0,0.0850664,0.0832533,0.0864733,0.0463504,0,0.558283,0.153203,0.149443,0.15688,0.0833333,0,1,1.80098,1.7979,45.3857
0.090,18735.8,1,726691,54.8961,1,580,53.6189,1,595,0,0,0,0.0900691,0.0885467,0.0914667,0.0463484,0,0.557727,0.16217,0.15884,0.165153,0.0833333,0,1,1.8005,1.79798,52.6334
