Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,14.0615,2,62,14.0603,2,62,13.2663,2,58,0,0,0,0.00498339,0.00460333,0.00538667,0.00498337,0.00460333,0.00539,0.0089563,0.00821667,0.00986667,0.00895632,0.00821667,0.00986667,1.79723,1.79724,14.2388
0.010,14.3677,2,62,14.365,2,62,13.5742,2,60,0,0,0,0.00998194,0.00952,0.0106333,0.00998198,0.00951667,0.0106333,0.0179709,0.01678,0.0192467,0.0179708,0.01678,0.0192467,1.80034,1.80033,14.5178
0.015,14.6469,2,64,14.6425,2,64,13.8407,2,62,0,0,0,0.0149825,0.0143067,0.01555,0.0149825,0.0143033,0.01555,0.0269382,0.0256433,0.02851,0.0269381,0.0256433,0.02851,1.79798,1.79796,14.7753
0.020,14.9161,2,72,14.9091,2,72,14.098,2,68,0,0,0,0.0199847,0.0194667,0.0208033,0.0199846,0.0194667,0.0208,0.0359356,0.0345,0.03783,0.035936,0.0344833,0.03783,1.79816,1.79818,15.019
0.025,15.1617,2,77,15.1521,2,66,14.3328,2,66,0,0,0,0.0249844,0.02421,0.0256467,0.0249845,0.02421,0.0256467,0.0449068,0.0431433,0.04654,0.0449073,0.04314,0.04654,1.7974,1.79741,15.2441
0.030,15.4128,2,84,15.3996,2,84,14.5866,2,84,0,0,0,0.0299786,0.02924,0.0307733,0.0299784,0.0292433,0.0307733,0.0539195,0.05213,0.05596,0.0539192,0.0521567,0.05596,1.7986,1.7986,15.4706
0.035,15.6459,2,82,15.6278,2,82,14.805,2,82,0,0,0,0.0349774,0.0342367,0.0358733,0.0349775,0.0342367,0.0358767,0.0629459,0.0611567,0.0654667,0.0629463,0.0611567,0.0654667,1.79962,1.79962,15.6766
0.040,15.86,2,93,15.8361,2,86,15.0012,2,86,0,0,0,0.0399889,0.0391467,0.0409867,0.0399886,0.0391467,0.0409833,0.072009,0.0696667,0.07408,0.0720082,0.0696667,0.07408,1.80073,1.80072,15.8632
0.045,16.0569,2,104,16.0261,2,104,15.1946,2,100,0,0,0,0.0449701,0.04413,0.0460133,0.0449703,0.0441333,0.0460133,0.080976,0.0788633,0.0842433,0.0809764,0.0788633,0.0842333,1.80066,1.80066,16.0369
0.050,16.2592,2,108,16.2198,2,108,15.3899,2,104,0,0,0,0.0499764,0.04892,0.05151,0.049976,0.0489233,0.05151,0.0899879,0.0868533,0.0925167,0.0899873,0.0868533,0.0925233,1.80061,1.80061,16.2115
0.055,16.4457,2,227,16.3946,2,89,15.5654,2,88,0,0,0,0.054982,0.0535933,0.0560633,0.0549818,0.0536033,0.0560667,0.0989778,0.0963233,0.1012,0.0989776,0.0963567,0.1012,1.80018,1.80019,16.368
