Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,17.7377,1,86,17.7218,1,86,16.8999,1,82,0,0,0,0.00498339,0.00460333,0.00538667,0.00498344,0.00455667,0.00546667,0.0089563,0.00821667,0.00986667,0.00895645,0.00789,0.00981,1.79723,1.79724,17.9142
0.010,17.7637,1,88,17.7295,1,88,16.9417,1,88,0,0,0,0.00998194,0.00952,0.0106333,0.00998203,0.00956,0.01048,0.0179709,0.01678,0.0192467,0.017971,0.01652,0.0190933,1.80034,1.80033,17.9072
0.015,17.8118,1,106,17.7589,1,106,16.9665,1,106,0,0,0,0.0149825,0.0143067,0.01555,0.0149826,0.0142933,0.0156767,0.0269382,0.0256433,0.02851,0.0269378,0.02567,0.0291567,1.79798,1.79794,17.9281
0.020,17.8797,1,110,17.807,1,110,17.0194,1,110,0,0,0,0.0199847,0.0194667,0.0208033,0.0199847,0.0192767,0.0205867,0.0359356,0.0345,0.03783,0.0359361,0.0341033,0.0377767,1.79816,1.79817,17.9652
0.025,17.9363,1,106,17.8416,1,106,17.0544,1,102,0,0,0,0.0249844,0.02421,0.0256467,0.0249844,0.0240433,0.0259033,0.0449068,0.0431433,0.04654,0.0449075,0.0428467,0.04713,1.7974,1.79742,17.9884
0.030,17.9965,1,116,17.8757,1,116,17.0769,1,116,0,0,0,0.0299786,0.02924,0.0307733,0.0299787,0.02906,0.03075,0.0539195,0.05213,0.05596,0.0539198,0.05163,0.0558767,1.7986,1.7986,18.0085
0.035,18.0766,1,108,17.9283,1,108,17.131,1,108,0,0,0,0.0349774,0.0342367,0.0358733,0.0349774,0.03402,0.03581,0.0629459,0.0611567,0.0654667,0.0629461,0.0607367,0.06495,1.79962,1.79962,18.0474
0.040,18.1536,1,114,17.9745,1,112,17.1818,1,111,0,0,0,0.0399889,0.0391467,0.0409867,0.0399886,0.0390367,0.0408633,0.072009,0.0696667,0.07408,0.0720081,0.0697933,0.07438,1.80073,1.80072,18.0795
0.045,18.2248,1,115,18.0136,1,115,17.2085,1,113,0,0,0,0.0449701,0.04413,0.0460133,0.0449698,0.0437933,0.04609,0.080976,0.0788633,0.0842433,0.0809755,0.0786367,0.0830633,1.80066,1.80066,18.1056
0.050,18.31,1,116,18.0624,1,116,17.2595,1,115,0,0,0,0.0499764,0.04892,0.05151,0.0499761,0.0487333,0.05127,0.0899879,0.0868533,0.0925167,0.0899876,0.0871533,0.0923867,1.80061,1.80061,18.139
0.055,18.3942,1,116,18.1058,1,114,17.3078,1,114,0,0,0,0.054982,0.0535933,0.0560633,0.0549816,0.0539667,0.0561533,0.0989778,0.0963233,0.1012,0.0989772,0.0960533,0.101553,1.80018,1.80019,18.1687
0.060,18.4881,1,124,18.1556,1,124,17.3504,1,124,0,0,0,0.0599857,0.0589133,0.0613133,0.0599854,0.0588633,0.0614433,0.107968,0.104723,0.111213,0.107968,0.105147,0.11123,1.7999,1.79991,18.2031
0.065,18.5918,1,131,18.2083,1,131,17.4127,1,131,0,0,0,0.0649985,0.0638667,0.0660133,0.0649982,0.0637733,0.06674,0.117022,0.11463,0.119897,0.117021,0.11432,0.12074,1.80038,1.80037,18.2399
0.070,18.7137,1,145,18.2732,1,140,17.4722,1,137,0,0,0,0.0699986,0.0686933,0.0711733,0.0699984,0.0689167,0.0716733,0.126019,0.123233,0.12942,0.126019,0.123433,0.129887,1.80031,1.80032,18.2871
0.075,18.8239,1,148,18.3221,1,148,17.5162,1,148,0,0,0,0.07499,0.0734167,0.0760667,0.0749897,0.07367,0.0763633,0.134971,0.131247,0.138787,0.13497,0.132253,0.138527,1.79985,1.79985,18.3202
0.080,18.9578,1,152,18.3825,1,152,17.5809,1,152,0,0,0,0.0799878,0.0786433,0.0812033,0.079987,0.0784967,0.08151,0.143984,0.14032,0.146947,0.143982,0.14099,0.147607,1.80007,1.80007,18.3608
0.085,19.0879,1,148,18.4329,1,148,17.6342,1,148,0,0,0,0.0849842,0.08364,0.08641,0.084984,0.0837633,0.0867133,0.152967,0.14972,0.156877,0.152967,0.149753,0.157033,1.79995,1.79995,18.3928
0.090,19.2354,1,175,18.4894,1,174,17.6862,1,174,0,0,0,0.08999,0.0882767,0.0914933,0.0899896,0.0886933,0.0918333,0.161986,0.15777,0.165417,0.161985,0.158347,0.165967,1.80005,1.80004,18.4299
0.095,19.4122,1,167,18.5601,1,146,17.7582,1,146,0,0,0,0.0949999,0.0936067,0.0963867,0.0949993,0.0935033,0.0967133,0.170999,0.166893,0.17535,0.170997,0.166707,0.17511,1.79999,1.79999,18.4789
0.100,19.594,1,168,18.6219,1,167,17.823,1,167,0,0,0,0.100003,0.09821,0.10142,0.100002,0.09868,0.101583,0.180009,0.17718,0.183673,0.180008,0.175627,0.18395,1.80004,1.80004,18.5185
0.105,19.8109,1,161,18.6931,1,154,17.8947,1,154,0,0,0,0.105002,0.10362,0.106463,0.105002,0.10349,0.106607,0.189006,0.18513,0.192463,0.189006,0.184063,0.19289,1.80002,1.80002,18.5656
0.110,20.0486,1,171,18.7673,1,160,17.9715,1,160,0,0,0,0.110003,0.10808,0.11205,0.110003,0.10861,0.1116,0.19802,0.193597,0.202457,0.19802,0.193667,0.20184,1.80014,1.80014,18.6154
0.115,20.2869,1,168,18.8295,1,168,18.0259,1,164,0,0,0,0.115,0.11298,0.11649,0.115,0.11348,0.116717,0.207012,0.20274,0.211183,0.207012,0.20224,0.21143,1.8001,1.8001,18.6526
0.120,20.5966,1,192,18.9062,1,179,18.1025,1,179,0,0,0,0.120001,0.11788,0.12139,0.120001,0.11847,0.121837,0.215985,0.21001,0.219877,0.215985,0.211223,0.220263,1.79986,1.79986,18.7009
