Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,18.5973,1,104,18.5825,1,104,17.7824,1,104,0,0,0,0.00498339,0.00460333,0.00538667,0.0049834,0,0.08064,0.0089563,0.00821667,0.00986667,0.00895646,0,0.145507,1.79723,1.79726,18.7751
0.010,19.0646,1,160,19.0316,1,160,18.2375,1,160,0,0,0,0.00998194,0.00952,0.0106333,0.00998208,0,0.161107,0.0179709,0.01678,0.0192467,0.0179711,0,0.292203,1.80034,1.80034,19.2099
0.015,19.7604,1,187,19.7065,1,187,18.9077,1,187,0,0,0,0.0149825,0.0143067,0.01555,0.0149825,0,0.241393,0.0269382,0.0256433,0.02851,0.026938,0,0.433963,1.79798,1.79796,19.8749
0.020,20.7383,1,209,20.661,1,209,19.8575,1,209,0,0,0,0.0199847,0.0194667,0.0208033,0.0199847,0,0.32144,0.0359356,0.0345,0.03783,0.0359362,0,0.578983,1.79816,1.79819,20.8164
0.025,21.9979,1,230,21.8905,1,230,21.0931,1,226,0,0,0,0.0249844,0.02421,0.0256467,0.0249849,0,0.401597,0.0449068,0.0431433,0.04654,0.0449083,0,0.72478,1.7974,1.79742,22.03
0.030,23.6084,1,230,23.4633,1,230,22.6585,1,230,0,0,0,0.0299786,0.02924,0.0307733,0.0299783,0,0.481653,0.0539195,0.05213,0.05596,0.0539185,0,0.87036,1.7986,1.79858,23.5821
0.035,25.6632,1,301,25.4686,1,301,24.6578,1,323,0,0,0,0.0349774,0.0342367,0.0358733,0.0347297,0,0.55825,0.0629459,0.0611567,0.0654667,0.0625,0,1,1.79962,1.79961,25.5618
0.040,28.2802,1,302,28.0146,1,302,27.2025,1,313,0,0,0,0.0399889,0.0391467,0.0409867,0.0347306,0,0.558333,0.072009,0.0696667,0.07408,0.0625,0,1,1.80073,1.79957,28.0751
0.045,31.5695,1,332,31.2053,1,332,30.4108,1,332,0,0,0,0.0449701,0.04413,0.0460133,0.0347309,0,0.558347,0.080976,0.0788633,0.0842433,0.0625,0,1,1.80066,1.79955,31.225
0.050,36.0886,1,320,35.5695,1,320,34.7444,1,336,0,0,0,0.0499764,0.04892,0.05151,0.0347308,0,0.558337,0.0899879,0.0868533,0.0925167,0.0625,0,1,1.80061,1.79956,35.5296
0.055,42.4885,1,411,41.6883,1,411,40.9023,1,410,0,0,0,0.054982,0.0535933,0.0560633,0.0347308,0,0.558357,0.0989778,0.0963233,0.1012,0.0625,0,1,1.80018,1.79955,41.5531
0.060,52.861,1,430,51.3718,1,430,50.5356,1,509,0,0,0,0.0599857,0.0589133,0.0613133,0.0347307,0,0.55837,0.107968,0.104723,0.111213,0.0625,0,1,1.7999,1.79956,51.0518
0.065,78.4293,1,2458,71.2949,1,520,70.1208,1,516,0,0,0,0.0649985,0.0638667,0.0660133,0.0347302,0,0.558327,0.117022,0.11463,0.119897,0.0625,0,1,1.80038,1.79959,70.3473
0.070,25455.6,1,796270,99.9349,1,968,98.6179,1,995,0,0,0,0.0699986,0.0686933,0.0711733,0.0347168,0,0.557533,0.126019,0.123233,0.12942,0.0625,0,1,1.80031,1.80028,97.0434
