Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,4.83489,2,15,4.82263,2,14,4.03004,2,10,0,0,0,0.00503313,0.00481,0.00530333,0.00503292,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901458,0.00842333,0.00938667,1.79109,1.79113,5.02326
0.010,4.87575,2,21,4.84986,2,15,4.04567,2,11,0,0,0,0.0100071,0.00965667,0.0101967,0.0100069,0.00965667,0.0101967,0.0181071,0.0176567,0.0190767,0.0181075,0.0176567,0.0190767,1.80943,1.80951,5.02269
0.015,4.90255,2,20,4.86545,2,14,4.07695,2,11,0,0,0,0.0149985,0.0147133,0.0155233,0.0149981,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.026939,0.0256067,0.0280867,1.79613,1.79616,5.04264
0.020,4.93388,2,22,4.88099,2,16,4.09163,2,13,0,0,0,0.019986,0.01961,0.02052,0.0199858,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358333,0.03493,0.0368367,1.79293,1.79294,5.04945
0.025,4.96428,2,24,4.89622,2,17,4.09913,2,13,0,0,0,0.0249837,0.0244333,0.0254267,0.024984,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448046,0.0432067,0.0459833,1.7933,1.79333,5.05455
0.030,5.01435,2,26,4.92208,2,17,4.12298,2,15,0,0,0,0.0300242,0.0295467,0.03048,0.0300242,0.0295433,0.0304767,0.0540175,0.05332,0.0554333,0.0540175,0.0533167,0.0554333,1.79913,1.79913,5.06242
0.035,5.06452,2,36,4.95306,2,18,4.14715,2,14,0,0,0,0.0350258,0.03456,0.0356267,0.0350256,0.03456,0.0356267,0.0631567,0.0616533,0.06481,0.0631565,0.0616533,0.0648067,1.80315,1.80315,5.07667
0.040,5.11415,2,40,4.97395,2,18,4.16758,2,14,0,0,0,0.0400277,0.03946,0.04073,0.0400275,0.03946,0.0407267,0.0721635,0.0709767,0.07374,0.0721637,0.07098,0.0737367,1.80284,1.80285,5.08534
0.045,5.15491,2,31,4.99157,2,18,4.18477,2,14,0,0,0,0.0450169,0.0439567,0.0456967,0.0450171,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.0811496,0.0793167,0.08211,1.80262,1.80264,5.08807
0.050,5.2097,2,35,5.01004,2,18,4.20876,2,16,0,0,0,0.0499998,0.0493,0.0506933,0.0500002,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.0900592,0.0887133,0.0915667,1.80116,1.80118,5.09604
0.055,5.27239,2,37,5.03172,2,20,4.22644,2,16,0,0,0,0.0550015,0.05412,0.0556867,0.0550015,0.0541167,0.0556833,0.0989573,0.0961867,0.101667,0.0989577,0.0961767,0.101667,1.79918,1.79918,5.10695
0.060,5.33424,2,44,5.0563,2,18,4.25172,2,15,0,0,0,0.0599671,0.0591933,0.0606667,0.0599677,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107884,0.106283,0.11005,1.79905,1.79904,5.11494
0.065,5.41418,2,42,5.08465,2,19,4.28788,2,15,0,0,0,0.0650215,0.0644433,0.06613,0.0650217,0.06444,0.0661367,0.116787,0.114973,0.119243,0.116788,0.114973,0.119243,1.79613,1.79613,5.12686
0.070,5.49435,2,64,5.10842,2,18,4.30898,2,16,0,0,0,0.0699785,0.0688767,0.0706767,0.0699788,0.0688767,0.0706767,0.125762,0.123223,0.12785,0.125762,0.123223,0.127843,1.79715,1.79714,5.13543
0.075,5.57471,2,61,5.13109,2,22,4.32406,2,19,0,0,0,0.0749754,0.0739667,0.0760933,0.074976,0.0739633,0.0760933,0.134679,0.132943,0.137253,0.134679,0.132947,0.137253,1.79631,1.79629,5.14094
0.080,5.66633,2,55,5.15677,2,20,4.35397,2,17,0,0,0,0.0799906,0.0789433,0.0806033,0.079991,0.07894,0.08061,0.143754,0.1418,0.145303,0.143755,0.141793,0.145303,1.79713,1.79714,5.14299
