Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,5.32005,2,16,5.31678,2,16,4.50047,2,12,0,0,0,0.00503313,0.00481,0.00530333,0.00503292,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901458,0.00842333,0.00938667,1.79109,1.79113,5.5138
0.010,5.36749,2,22,5.3601,2,16,4.57285,2,14,0,0,0,0.0100071,0.00965667,0.0101967,0.0100069,0.00965667,0.0101967,0.0181071,0.0176567,0.0190767,0.0181073,0.0176567,0.0190767,1.80943,1.80949,5.52933
0.015,5.39957,2,21,5.39154,2,19,4.61947,2,16,0,0,0,0.0149985,0.0147133,0.0155233,0.0149981,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.026939,0.0256067,0.0280867,1.79613,1.79616,5.56155
0.020,5.41826,2,22,5.40538,2,20,4.61338,2,16,0,0,0,0.019986,0.01961,0.02052,0.0199856,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358323,0.03493,0.0368367,1.79293,1.7929,5.5695
0.025,5.45496,2,22,5.43939,2,20,4.65165,2,16,0,0,0,0.0249837,0.0244333,0.0254267,0.0249837,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448042,0.0432067,0.0459833,1.7933,1.79333,5.59419
0.030,5.50289,2,27,5.48069,2,20,4.6778,2,16,0,0,0,0.0300242,0.0295467,0.03048,0.030024,0.0295433,0.0304767,0.0540175,0.05332,0.0554333,0.0540173,0.0533167,0.0554333,1.79913,1.79914,5.61535
0.035,5.53341,2,27,5.50764,2,20,4.70326,2,17,0,0,0,0.0350258,0.03456,0.0356267,0.0350254,0.0345567,0.0356267,0.0631567,0.0616533,0.06481,0.0631562,0.06165,0.0648067,1.80315,1.80315,5.62674
0.040,5.56696,2,29,5.53355,2,23,4.73889,2,19,0,0,0,0.0400277,0.03946,0.04073,0.0400277,0.0394567,0.0407267,0.0721635,0.0709767,0.07374,0.0721633,0.0709833,0.0737367,1.80284,1.80283,5.641
0.045,5.60798,2,35,5.57149,2,21,4.7631,2,19,0,0,0,0.0450169,0.0439567,0.0456967,0.0450169,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.0811494,0.0793167,0.08211,1.80262,1.80264,5.66894
0.050,5.64264,2,42,5.59798,2,22,4.80007,2,22,0,0,0,0.0499998,0.0493,0.0506933,0.05,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.0900588,0.0887133,0.0915667,1.80116,1.80117,5.68258
0.055,5.68374,2,33,5.62948,2,24,4.84361,2,20,0,0,0,0.0550015,0.05412,0.0556867,0.0550013,0.0541167,0.0556833,0.0989573,0.0961867,0.101667,0.0989575,0.0961767,0.101663,1.79918,1.79919,5.70287
0.060,5.71905,2,40,5.65635,2,24,4.86089,2,20,0,0,0,0.0599671,0.0591933,0.0606667,0.0599669,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107883,0.106283,0.110047,1.79905,1.79905,5.71683
0.065,5.75898,2,40,5.68634,2,23,4.89089,2,20,0,0,0,0.0650215,0.0644433,0.06613,0.0650213,0.06444,0.0661367,0.116787,0.114973,0.119243,0.116787,0.11497,0.119243,1.79613,1.79614,5.73693
0.070,5.80934,2,38,5.72265,2,24,4.93076,2,21,0,0,0,0.0699785,0.0688767,0.0706767,0.0699785,0.0688767,0.0706767,0.125762,0.123223,0.12785,0.125761,0.123223,0.127843,1.79715,1.79714,5.7582
0.075,5.83672,2,35,5.74177,2,25,4.94619,2,24,0,0,0,0.0749754,0.0739667,0.0760933,0.0749754,0.0739633,0.0760933,0.134679,0.132943,0.137253,0.134677,0.132947,0.137253,1.79631,1.79628,5.7675
0.080,5.88706,2,36,5.7764,2,27,4.97927,2,23,0,0,0,0.0799906,0.0789433,0.0806033,0.0799912,0.07894,0.0806067,0.143754,0.1418,0.145303,0.143755,0.141793,0.145303,1.79713,1.79714,5.78439
0.085,5.94838,2,50,5.81705,2,25,5.02897,2,24,0,0,0,0.0850135,0.0841767,0.08594,0.0850131,0.0841767,0.0859433,0.152908,0.15066,0.154753,0.152906,0.15066,0.154753,1.79864,1.79861,5.81062
0.090,6.00295,2,48,5.85445,2,24,5.05834,2,24,0,0,0,0.0900248,0.0892033,0.09142,0.0900265,0.0892067,0.0914233,0.16201,0.159603,0.16706,0.16201,0.159607,0.167063,1.79961,1.79958,5.82679
0.095,6.05513,2,50,5.88074,2,28,5.0853,2,24,0,0,0,0.0950098,0.0942767,0.09608,0.0950098,0.0942767,0.0960767,0.170997,0.16884,0.173027,0.170998,0.168837,0.17303,1.79979,1.79979,5.83892
0.100,6.10331,2,56,5.90856,2,29,5.1136,2,26,0,0,0,0.100001,0.0992933,0.10096,0.100001,0.09929,0.10096,0.180058,0.177937,0.182947,0.180057,0.177937,0.182947,1.80056,1.80055,5.85124
0.105,6.16087,2,48,5.93968,2,26,5.14148,2,24,0,0,0,0.105056,0.104367,0.105867,0.105057,0.104363,0.10587,0.189182,0.1872,0.191547,0.189183,0.187197,0.19155,1.80077,1.80077,5.86689
0.110,6.23179,2,53,5.97443,2,28,5.17935,2,24,0,0,0,0.110075,0.108663,0.11093,0.110076,0.108667,0.11093,0.198212,0.19493,0.200707,0.198214,0.194933,0.200707,1.80071,1.80071,5.88196
0.115,6.30383,2,58,6.01465,2,31,5.21323,2,27,0,0,0,0.115057,0.113993,0.11592,0.115057,0.113997,0.115923,0.207168,0.20457,0.210507,0.207166,0.204573,0.21051,1.80056,1.80055,5.90288
0.120,6.37342,2,68,6.04502,2,28,5.25347,2,28,0,0,0,0.120091,0.11929,0.121323,0.120092,0.119293,0.12132,0.216163,0.21313,0.21876,0.216168,0.21314,0.21876,1.8,1.80002,5.92047
0.125,6.44986,2,73,6.07479,2,27,5.27832,2,26,0,0,0,0.125085,0.12432,0.126297,0.125085,0.124333,0.126297,0.22529,0.223193,0.229163,0.225289,0.223183,0.229153,1.80109,1.80108,5.93031
0.130,6.51929,2,70,6.10464,2,29,5.30809,2,26,0,0,0,0.130036,0.12924,0.131267,0.130035,0.12924,0.131267,0.23412,0.231557,0.23707,0.23412,0.23156,0.23708,1.80043,1.80044,5.94266
0.135,6.63089,2,86,6.13907,2,29,5.34206,2,28,0,0,0,0.135046,0.134093,0.136103,0.135047,0.134087,0.136107,0.243109,0.241307,0.245997,0.243108,0.24131,0.246,1.80019,1.80018,5.95771
