Injection_rate,_avg_plat,_min_plat,_max_plat,_avg_nlat,_min_nlat,_max_nlat,_avg_flat,_min_flat,_max_flat,_avg_frag,_min_frag,_max_frag,_avg_sent_packets,_min_sent_packets,_max_sent_packets,_avg_accepted_packets,_min_accepted_packets,_max_accepted_packets,_avg_sent,_min_sent,_max_sent,_avg_accepted,_min_accepted,_max_accepted,_avg_sent,avg_accepted,hop_stats
0.005,3.79312,1,15,3.79308,1,15,3.00536,1,12,0,0,0,0.00503313,0.00481,0.00530333,0.00503292,0.00481,0.0053,0.00901479,0.00842333,0.00938667,0.00901458,0.00842333,0.00938667,1.79109,1.79113,3.99768
0.010,3.83659,1,16,3.83637,1,16,3.03491,1,13,0,0,0,0.0100071,0.00965667,0.0101967,0.0100071,0.00965667,0.0101967,0.0181071,0.0176567,0.0190767,0.0181075,0.0176567,0.0190767,1.80943,1.80947,4.0199
0.015,3.84389,1,17,3.84332,1,17,3.05804,1,16,0,0,0,0.0149985,0.0147133,0.0155233,0.0149983,0.0147133,0.01552,0.0269394,0.0256067,0.0280867,0.0269392,0.0256067,0.0280867,1.79613,1.79614,4.03724
0.020,3.85017,1,19,3.84904,1,18,3.06183,1,14,0,0,0,0.019986,0.01961,0.02052,0.0199856,0.01961,0.0205167,0.0358335,0.03493,0.03684,0.0358329,0.03493,0.0368367,1.79293,1.79293,4.04118
0.025,3.87329,1,22,3.87167,1,19,3.07948,1,16,0,0,0,0.0249837,0.0244333,0.0254267,0.0249842,0.0244333,0.0254233,0.0448033,0.0432067,0.0459867,0.0448046,0.0432067,0.0459833,1.7933,1.79332,4.06145
0.030,3.89601,1,24,3.89319,1,19,3.08778,1,15,0,0,0,0.0300242,0.0295467,0.03048,0.0300244,0.0295467,0.0304767,0.0540175,0.05332,0.0554333,0.0540177,0.05332,0.0554333,1.79913,1.79913,4.07232
0.035,3.91096,1,23,3.90728,1,19,3.10651,1,17,0,0,0,0.0350258,0.03456,0.0356267,0.0350258,0.03456,0.0356267,0.0631567,0.0616533,0.06481,0.0631567,0.0616533,0.0648067,1.80315,1.80315,4.07769
0.040,3.92851,1,28,3.92325,1,20,3.11672,1,16,0,0,0,0.0400277,0.03946,0.04073,0.0400275,0.0394567,0.0407267,0.0721635,0.0709767,0.07374,0.0721637,0.07098,0.0737367,1.80284,1.80285,4.08978
0.045,3.94829,1,29,3.94272,1,20,3.13054,1,18,0,0,0,0.0450169,0.0439567,0.0456967,0.0450173,0.0439567,0.0456967,0.0811485,0.0793167,0.08211,0.081149,0.0793167,0.08211,1.80262,1.80262,4.1059
0.050,3.96213,1,30,3.9535,1,22,3.15694,1,18,0,0,0,0.0499998,0.0493,0.0506933,0.05,0.0493,0.05069,0.0900577,0.0887133,0.0915567,0.0900588,0.0887133,0.0915667,1.80116,1.80117,4.11318
0.055,3.97873,1,28,3.96906,1,21,3.17702,1,19,0,0,0,0.0550015,0.05412,0.0556867,0.0550015,0.0541167,0.0556833,0.0989573,0.0961867,0.101667,0.0989569,0.0961767,0.101667,1.79918,1.79917,4.1271
0.060,4.00124,1,27,3.98841,1,22,3.19409,1,19,0,0,0,0.0599671,0.0591933,0.0606667,0.0599667,0.0591933,0.0606633,0.107884,0.10628,0.110047,0.107883,0.106283,0.110047,1.79905,1.79905,4.14202
0.065,4.0153,1,34,3.99974,1,21,3.20701,1,19,0,0,0,0.0650215,0.0644433,0.06613,0.0650215,0.06444,0.0661367,0.116787,0.114973,0.119243,0.116787,0.114973,0.119243,1.79613,1.79613,4.1505
0.070,4.02801,1,39,4.01093,1,23,3.21648,1,19,0,0,0,0.0699785,0.0688767,0.0706767,0.069979,0.0688767,0.0706767,0.125762,0.123223,0.12785,0.125762,0.123223,0.12785,1.79715,1.79714,4.15716
0.075,4.05505,1,38,4.03443,1,22,3.2329,1,20,0,0,0,0.0749754,0.0739667,0.0760933,0.0749754,0.0739633,0.0760933,0.134679,0.132943,0.137253,0.134678,0.132947,0.137253,1.79631,1.7963,4.17553
0.080,4.06976,1,36,4.0455,1,23,3.25128,1,22,0,0,0,0.0799906,0.0789433,0.0806033,0.0799908,0.07894,0.0806067,0.143754,0.1418,0.145303,0.143754,0.141793,0.145303,1.79713,1.79713,4.18139
0.085,4.09158,1,32,4.06602,1,24,3.27677,1,23,0,0,0,0.0850135,0.0841767,0.08594,0.0850123,0.0841767,0.08594,0.152908,0.15066,0.154753,0.152905,0.15066,0.154753,1.79864,1.79862,4.19505
0.090,4.12049,1,36,4.08702,1,24,3.29261,1,20,0,0,0,0.0900248,0.0892033,0.09142,0.090025,0.0892067,0.09142,0.16201,0.159603,0.16706,0.162009,0.159607,0.16706,1.79961,1.7996,4.2105
0.095,4.14032,1,43,4.10291,1,24,3.3083,1,20,0,0,0,0.0950098,0.0942767,0.09608,0.0950102,0.0942767,0.09608,0.170997,0.16884,0.173027,0.170998,0.16884,0.173027,1.79979,1.79978,4.22083
0.100,4.16852,1,48,4.12494,1,25,3.32824,1,21,0,0,0,0.100001,0.0992933,0.10096,0.100001,0.0992867,0.10096,0.180058,0.177937,0.182947,0.180058,0.177937,0.182947,1.80056,1.80056,4.23319
0.105,4.18713,1,65,4.13942,1,27,3.33862,1,27,0,0,0,0.105056,0.104367,0.105867,0.105056,0.104363,0.10587,0.189182,0.1872,0.191547,0.189181,0.187197,0.19155,1.80077,1.80076,4.24351
0.110,4.21338,1,45,4.15711,1,25,3.35662,1,24,0,0,0,0.110075,0.108663,0.11093,0.110075,0.108663,0.11093,0.198212,0.19493,0.200707,0.198213,0.19493,0.200707,1.80071,1.8007,4.25392
0.115,4.2415,1,42,4.1789,1,24,3.37722,1,22,0,0,0,0.115057,0.113993,0.11592,0.115056,0.113997,0.115923,0.207168,0.20457,0.210507,0.207167,0.204573,0.21051,1.80056,1.80057,4.27048
0.120,4.27141,1,59,4.20025,1,28,3.40883,1,28,0,0,0,0.120091,0.11929,0.121323,0.120092,0.119293,0.121323,0.216163,0.21313,0.21876,0.216165,0.213133,0.21876,1.8,1.8,4.28603
0.125,4.29883,1,49,4.21841,1,28,3.42346,1,26,0,0,0,0.125085,0.12432,0.126297,0.125085,0.124333,0.126297,0.22529,0.223193,0.229163,0.225289,0.223183,0.229163,1.80109,1.80109,4.29645
