Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,7.29248,6.80988,6.24489,6.54465
0.01,7.32597,6.81727,6.26676,6.6176
0.015,7.36922,6.83985,6.26823,6.67991
0.02,7.40624,6.84081,6.27332,6.72928
0.025,7.45638,6.87075,6.2933,6.78932
0.03,7.49315,6.89033,6.29665,6.85062
0.035,7.52687,6.89026,6.29884,6.8868
0.04,7.58095,6.91107,6.30904,6.94606
0.045,7.63095,6.94886,6.32353,7.01273
0.05,7.6733,6.95809,6.32114,7.04869
0.055,7.72728,6.99341,6.33844,7.1068
0.06,7.7782,7.02251,6.3482,7.16262
0.065,7.84398,7.06814,6.36427,7.2226
0.07,7.89035,7.09061,6.36287,7.26166
0.075,7.95033,7.12605,6.377,7.31171
0.08,8.01424,7.18164,6.39237,7.36945
0.085,8.08534,7.22574,6.40426,7.41713
0.09,8.15747,7.27213,6.41631,7.47346
0.095,8.22767,7.33195,6.42618,7.51879
0.1,8.30921,7.39891,6.43752,7.57106
0.105,8.40578,7.47832,6.44971,7.62117
0.11,8.50764,7.55042,6.46281,7.67079
0.115,8.60216,7.63026,6.47535,7.72351
0.12,8.731,7.73518,6.48961,7.77812
0.125,8.89613,7.86,6.51029,7.84757
0.13,9.08103,7.98861,6.52785,7.89077
0.135,9.28741,8.15317,6.54191,7.94629
0.14,9.52889,8.32154,6.55533,8.00141
0.145,9.9311,8.56031,6.57471,8.05261
0.15,10.4441,8.86742,6.59775,8.12567
0.155,11.3034,9.22838,6.61939,8.18736
0.16,12.9971,9.65778,6.64021,8.26083
0.165,17.1336,10.4753,6.66232,8.31094
0.17,32.2613,11.561,6.68972,8.39113
0.175,1422.86,13.5405,6.71696,8.45299
0.18,,21.2698,6.74134,8.54042
0.185,,694.559,6.78077,8.61922
0.19,,,6.811,8.72156
0.195,,,6.84354,8.80657
0.2,,,6.86832,8.90008
0.205,,,6.91809,9.02818
0.21,,,6.96095,9.14221
0.215,,,7.00833,9.29971
0.22,,,7.0785,9.40665
0.225,,,7.12208,9.5964
0.23,,,7.20749,9.78806
0.235,,,7.29156,10.0208
0.24,,,7.36016,10.2792
0.245,,,7.45229,10.6349
0.25,,,7.61715,11.0301
0.255,,,7.73212,11.4106
0.26,,,7.84672,11.8993
0.265,,,8.08816,12.7727
0.27,,,8.32768,13.4639
0.275,,,8.56198,14.7375
0.28,,,8.96954,15.8899
0.285,,,9.32356,18.1584
0.29,,,9.83852,21.1482
0.295,,,10.8672,24.2004
0.3,,,11.0016,35.6595
0.305,,,12.5934,41.0144
0.31,,,14.0531,118.943
0.315,,,17.3777,395.357
0.32,,,27.0308,
0.325,,,37.9225,
0.33,,,126.014,
0.335,,,351.331,
