Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,8.32193,7.93257,6.75871,7.37274
0.01,8.34764,7.9848,6.79621,7.42021
0.015,8.40593,8.02214,6.813,7.45417
0.02,8.43381,8.05879,6.8313,7.47571
0.025,8.48813,8.10147,6.85063,7.51268
0.03,8.53586,8.15095,6.87801,7.55581
0.035,8.58429,8.18992,6.89966,7.58128
0.04,8.62422,8.2399,6.92133,7.61957
0.045,8.68995,8.27888,6.93846,7.65505
0.05,8.73747,8.32716,6.96862,7.69452
0.055,8.78653,8.38213,6.99159,7.7336
0.06,8.85136,8.43718,7.01454,7.76358
0.065,8.92237,8.49966,7.04185,7.8108
0.07,8.99009,8.55656,7.06507,7.85408
0.075,9.05221,8.60468,7.0902,7.89171
0.08,9.13364,8.68509,7.12762,7.94096
0.085,9.21256,8.74948,7.1541,7.98326
0.09,9.3049,8.81028,7.18175,8.03101
0.095,9.40538,8.89721,7.2214,8.08317
0.1,9.49447,8.96852,7.24585,8.12869
0.105,9.60288,9.05607,7.28472,8.17277
0.11,9.71978,9.15411,7.32238,8.23087
0.115,9.85037,9.24665,7.35293,8.28505
0.12,9.98615,9.34958,7.39112,8.33814
0.125,10.1436,9.46177,7.43435,8.40098
0.13,10.2872,9.5894,7.46598,8.45532
0.135,10.4851,9.71939,7.50921,8.51382
0.14,10.6757,9.85976,7.55264,8.57981
0.145,10.8865,10.0091,7.59331,8.64202
0.15,11.1774,10.2051,7.64568,8.72122
0.155,11.4523,10.3981,7.68745,8.78441
0.16,11.7461,10.6067,7.73555,8.85734
0.165,12.1487,10.8183,7.78491,8.93129
0.17,12.5525,11.0847,7.83528,9.01604
0.175,13.0402,11.3728,7.88347,9.09059
0.18,13.6882,11.7176,7.93951,9.18027
0.185,14.4001,12.1103,7.99668,9.26383
0.19,15.3027,12.5807,8.05728,9.36265
0.195,16.4482,13.1248,8.11888,9.46137
0.2,17.9294,13.7929,8.17872,9.56056
0.205,19.6476,14.5799,8.24149,9.66314
0.21,22.8715,15.7216,8.32223,9.78405
0.215,27.4518,17.2818,8.38684,9.90042
0.22,37.3954,19.4194,8.46192,10.0279
0.225,138.033,24.562,8.53966,10.1692
0.23,2889.87,220.569,8.62913,10.304
0.235,,,8.71328,10.4684
0.24,,,8.80257,10.6454
0.245,,,8.91249,10.8455
0.25,,,9.00949,11.0518
0.255,,,9.12889,11.249
0.26,,,9.24538,11.5036
0.265,,,9.38548,11.7616
0.27,,,9.52658,12.0824
0.275,,,9.67161,12.4086
0.28,,,9.83833,12.7952
0.285,,,10.0037,13.1888
0.29,,,10.1947,13.7054
0.295,,,10.4004,14.2697
0.3,,,10.6632,14.9717
0.305,,,10.9006,15.7647
0.31,,,11.1707,16.7258
0.315,,,11.5205,17.9295
0.32,,,11.86,19.4697
0.325,,,12.2888,21.5629
0.33,,,12.8179,24.215
0.335,,,13.3712,27.9803
0.34,,,14.0287,33.329
0.345,,,14.9177,43.5794
0.35,,,15.8818,62.5879
0.355,,,17.135,126.56
0.36,,,18.9189,1653.98
0.365,,,21.009,
0.37,,,24.8059,
0.375,,,34.2192,
0.38,,,214.832,
